Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
185,Exit long,2025-08-29 13:10,Long Exit,1.16688,60241,70331.96991,-37.95,-0.05,11.45,0.02,-37.95,-0.05,-285.54,0.00
185,Entry long,2025-08-29 12:35," | F:75,23,1,0,1.05,0,1,49.98,1,1.02,16.72",1.16751,60241,70331.96991,-37.95,-0.05,11.45,0.02,-37.95,-0.05,-285.54,0.00
186,Exit long,2025-09-09 09:40,Long Exit,1.17646,119048,140081.4006,-26.19,-0.02,36.9,0.03,-26.19,-0.02,-311.73,0.00
186,Entry long,2025-09-09 09:30," | F:70,31,0,0,0.57,0,1,39.01,1,1.23,21.64",1.17668,119048,140081.4006,-26.19,-0.02,36.9,0.03,-26.19,-0.02,-311.73,0.00
187,Exit long,2025-09-09 15:30,Long Exit,1.17349,58140,68265.081,-38.37,-0.06,20.93,0.03,-38.37,-0.06,-350.1,0.00
187,Entry long,2025-09-09 15:00," | F:70,227,2,0,0.57,0,0,24.57,1,1.67,32.4",1.17415,58140,68265.081,-38.37,-0.06,20.93,0.03,-38.37,-0.06,-350.1,0.00
188,Exit short,2025-09-11 16:00,Short Exit,1.1721,37037,43368.47515,-42.59,-0.10,63.7,0.15,-42.59,-0.10,-392.69,0.00
188,Entry short,2025-09-11 15:35," | F:60,253,2,1,0.32,1,1,67.47,0,2.5,24.23",1.17095,37037,43368.47515,-42.59,-0.10,63.7,0.15,-42.59,-0.10,-392.69,0.00
189,Exit long,2025-09-12 19:40,Long Exit,1.17276,113636,133095.0286,172.73,0.13,172.73,0.13,-4.55,0.00,-219.96,0.00
189,Entry long,2025-09-12 19:05," | F:55,29,2,0,1.37,0,0,40,1,0.66,15.45",1.17124,113636,133095.0286,172.73,0.13,172.73,0.13,-4.55,0.00,-219.96,0.00
190,Exit long,2025-09-15 16:50,Long Exit,1.17576,92593,108898.6273,-31.48,-0.03,65.74,0.06,-31.48,-0.03,-251.45,0.00
190,Entry long,2025-09-15 16:25," | F:70,21,2,0,0.58,0,1,47.85,1,0.85,31.5",1.1761,92593,108898.6273,-31.48,-0.03,65.74,0.06,-31.48,-0.03,-251.45,0.00
191,Exit long,2025-09-24 08:30,Long Exit,1.17971,89286,105363.73,-32.14,-0.03,38.39,0.04,-32.14,-0.03,-283.59,0.00
191,Entry long,2025-09-24 07:45," | F:50,10,0,0,0.55,0,0,52.12,1,1.06,18.88",1.18007,89286,105363.73,-32.14,-0.03,38.39,0.04,-32.14,-0.03,-283.59,0.00
192,Exit long,2025-10-01 10:40,Long Exit,1.17483,84746,99595.19412,-33.05,-0.03,48.31,0.05,-33.05,-0.03,-316.64,0.00
192,Entry long,2025-10-01 10:30," | F:70,35,1,0,0.41,0,1,40.31,1,1.6,40.99",1.17522,84746,99595.19412,-33.05,-0.03,48.31,0.05,-33.05,-0.03,-316.64,0.00
193,Exit short,2025-10-02 10:00,Short Exit,1.17447,75758,88940.64958,-34.85,-0.04,45.45,0.05,-34.85,-0.04,-351.49,0.00
193,Entry short,2025-10-02 09:35," | F:50,6,0,1,1.08,0,1,58.97,0,2.43,26.96",1.17401,75758,88940.64958,-34.85,-0.04,45.45,0.05,-34.85,-0.04,-351.49,0.00
194,Exit long,2025-10-03 13:55,Long Exit,1.17338,138889,162991.7971,-22.22,-0.01,63.89,0.04,-22.22,-0.01,-373.71,0.00
194,Entry long,2025-10-03 13:05," | F:75,9,1,0,0.99,0,1,51.39,1,1.01,17.37",1.17354,138889,162991.7971,-22.22,-0.01,63.89,0.04,-22.22,-0.01,-373.71,0.00
195,Exit long,2025-10-03 19:35,Long Exit,1.17381,116279,136516.1972,-26.74,-0.02,1.16,0.00,-26.74,-0.02,-400.46,0.00
195,Entry long,2025-10-03 19:20," | F:80,15,2,0,0.37,1,1,45.5,1,0.5,19.08",1.17404,116279,136516.1972,-26.74,-0.02,1.16,0.00,-26.74,-0.02,-400.46,0.00
196,Exit short,2025-10-09 18:05,Short Exit,1.15751,31056,36053.84208,106.21,0.29,106.21,0.29,-36.96,-0.10,-294.24,0.00
196,Entry short,2025-10-09 16:05," | F:80,33,2,1,0.63,1,0,42.55,0,2.52,15.47",1.16093,31056,36053.84208,106.21,0.29,106.21,0.29,-36.96,-0.10,-294.24,0.00
197,Exit long,2025-10-10 18:00,Long Exit,1.15963,47170,54565.3126,134.43,0.25,134.43,0.25,-28.3,-0.05,-159.81,0.00
197,Entry long,2025-10-10 15:00," | F:50,154,2,0,0.71,0,0,45.54,0,1.81,26.85",1.15678,47170,54565.3126,134.43,0.25,134.43,0.25,-28.3,-0.05,-159.81,0.00
198,Exit long,2025-10-15 11:25,Long Exit,1.16347,86207,100332.017,-32.76,-0.03,6.9,0.01,-32.76,-0.03,-192.57,0.00
198,Entry long,2025-10-15 11:15," | F:75,10,1,0,1.1,0,1,58.97,1,1.14,25.98",1.16385,86207,100332.017,-32.76,-0.03,6.9,0.01,-32.76,-0.03,-192.57,0.00
199,Exit long,2025-10-17 10:20,Long Exit,1.17005,52083,60979.29723,-39.58,-0.06,35.94,0.06,-39.58,-0.06,-232.15,0.00
199,Entry long,2025-10-17 10:10," | F:75,62,1,0,0.89,1,1,40.08,1,1.38,27.1",1.17081,52083,60979.29723,-39.58,-0.06,35.94,0.06,-39.58,-0.06,-232.15,0.00
200,Exit long,2025-10-17 14:10,Long Exit,1.16874,65789,76927.0777,-36.84,-0.05,26.97,0.04,-36.84,-0.05,-268.99,0.00
200,Entry long,2025-10-17 14:00," | F:75,158,1,0,0.51,1,0,43.4,1,1.36,22.33",1.1693,65789,76927.0777,-36.84,-0.05,26.97,0.04,-36.84,-0.05,-268.99,0.00
201,Exit long,2025-10-20 19:20,Long Exit,1.16525,81967,95545.65322,-33.61,-0.04,63.93,0.07,-33.61,-0.04,-302.6,0.00
201,Entry long,2025-10-20 18:10," | F:55,13,2,0,0.93,0,0,53.63,1,0.85,19.81",1.16566,81967,95545.65322,-33.61,-0.04,63.93,0.07,-33.61,-0.04,-302.6,0.00
202,Exit long,2025-10-24 18:45,Long Exit,1.16249,73529,85512.02113,-35.29,-0.04,2.21,0.00,-35.29,-0.04,-337.89,0.00
202,Entry long,2025-10-24 18:40," | F:75,10,2,0,1.44,0,1,51.8,0,0.84,11.43",1.16297,73529,85512.02113,-35.29,-0.04,2.21,0.00,-35.29,-0.04,-337.89,0.00
203,Exit long,2025-10-27 20:00,Long Exit,1.16357,142857,166245.548,-21.43,-0.01,20,0.01,-21.43,-0.01,-359.32,0.00
203,Entry long,2025-10-27 19:25," | F:75,14,2,0,0.69,0,1,48.62,1,0.75,16.88",1.16372,142857,166245.548,-21.43,-0.01,20,0.01,-21.43,-0.01,-359.32,0.00
204,Exit long,2025-10-28 08:50,Long Exit,1.16577,111111,129557.6482,-27.78,-0.02,7.78,0.01,-27.78,-0.02,-387.1,0.00
204,Entry long,2025-10-28 08:35," | F:70,36,0,0,1.01,0,1,40.52,1,1.47,15.51",1.16602,111111,129557.6482,-27.78,-0.02,7.78,0.01,-27.78,-0.02,-387.1,0.00
205,Exit long,2025-10-31 17:40,Long Exit,1.15251,69444,80071.01532,-36.11,-0.05,25,0.03,-36.11,-0.05,-423.21,0.00
205,Entry long,2025-10-31 17:05," | F:50,8,2,0,0.95,0,0,39.72,0,0.75,42.12",1.15303,69444,80071.01532,-36.11,-0.05,25,0.03,-36.11,-0.05,-423.21,0.00
206,Exit long,2025-11-05 20:00,Time Stop (Bars),1.14829,49505,56820.8489,25.25,0.04,48.02,0.08,-37.62,-0.07,-397.96,0.00
206,Entry long,2025-11-05 17:00," | F:55,12,2,0,1.11,0,0,42.64,0,2.91,24.6",1.14778,49505,56820.8489,25.25,0.04,48.02,0.08,-37.62,-0.07,-397.96,0.00
207,Exit short,2025-11-10 23:35,Time Stop (Bars),1.15587,80645,93232.0716,16.94,0.02,23.39,0.03,-30.65,-0.03,-381.03,0.00
207,Entry short,2025-11-10 20:35," | F:65,6,2,1,0.77,0,1,60.69,1,0.61,30.8",1.15608,80645,93232.0716,16.94,0.02,23.39,0.03,-30.65,-0.03,-381.03,0.00
208,Exit short,2025-11-18 15:40,Short Exit,1.16018,56180,65140.1482,-38.76,-0.06,0.56,0.00,-38.76,-0.06,-419.79,0.00
208,Entry short,2025-11-18 15:30," | F:75,62,2,1,1.12,0,1,58.91,1,2.5,28.7",1.15949,56180,65140.1482,-38.76,-0.06,0.56,0.00,-38.76,-0.06,-419.79,0.00
209,Exit long,2025-11-24 16:15,Long Exit,1.15362,106383,122754.2799,-28.72,-0.02,123.4,0.10,-28.72,-0.02,-448.51,0.00
209,Entry long,2025-11-24 14:10," | F:70,12,2,0,0.64,0,1,49.55,0,1.29,27.39",1.15389,106383,122754.2799,-28.72,-0.02,123.4,0.10,-28.72,-0.02,-448.51,0.00
210,Exit short,2025-12-02 19:40,Short Exit,1.16076,128205,148790.8769,-24.36,-0.02,1.28,0.00,-24.36,-0.02,-472.87,0.00
210,Entry short,2025-12-02 19:35," | F:75,13,2,1,0.76,0,0,53.34,1,0.68,23.39",1.16057,128205,148790.8769,-24.36,-0.02,1.28,0.00,-24.36,-0.02,-472.87,0.00
211,Exit long,2025-12-03 16:20,Long Exit,1.16588,86207,100539.7758,-32.76,-0.03,110.34,0.11,-32.76,-0.03,-505.63,-0.01
211,Entry long,2025-12-03 13:45," | F:65,5,1,0,0.85,0,1,67.23,1,0.79,34.65",1.16626,86207,100539.7758,-32.76,-0.03,110.34,0.11,-32.76,-0.03,-505.63,-0.01
212,Exit long,2025-12-04 14:20,Long Exit,1.16751,131579,153643.4825,-23.68,-0.02,34.21,0.02,-23.68,-0.02,-529.32,-0.01
212,Entry long,2025-12-04 14:05," | F:70,9,2,0,0.56,0,1,55.63,1,1.02,22.58",1.16769,131579,153643.4825,-23.68,-0.02,34.21,0.02,-23.68,-0.02,-529.32,-0.01
213,Exit long,2025-12-04 17:00,Long Exit,1.16643,106383,124117.0461,-28.72,-0.02,44.68,0.04,-28.72,-0.02,-558.04,-0.01
213,Entry long,2025-12-04 16:45," | F:75,11,2,0,0.99,0,1,45.86,1,1.1,22.27",1.1667,106383,124117.0461,-28.72,-0.02,44.68,0.04,-28.72,-0.02,-558.04,-0.01
214,Exit long,2025-12-05 17:50,Long Exit,1.16485,87719,102211.9332,-32.46,-0.03,2.63,0.00,-32.46,-0.03,-590.5,-0.01
214,Entry long,2025-12-05 17:45," | F:80,9,2,0,1.16,1,0,49.34,1,1.08,14.42",1.16522,87719,102211.9332,-32.46,-0.03,2.63,0.00,-32.46,-0.03,-590.5,-0.01
215,Exit long,2025-12-10 15:15,Long Exit,1.16307,76923,89501.44896,-34.62,-0.04,55.38,0.06,-34.62,-0.04,-625.11,-0.01
215,Entry long,2025-12-10 14:20," | F:65,6,2,0,1.06,0,1,49.92,1,0.96,13.78",1.16352,76923,89501.44896,-34.62,-0.04,55.38,0.06,-34.62,-0.04,-625.11,-0.01
