Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
544,Exit long,2025-08-29 10:20,Long Exit,3407.73,28,95461.24,-44.8,-0.05,93.24,0.10,-44.8,-0.05,-2205.71,-0.02
544,Entry long,2025-08-29 09:40," | F:45,16,0,0,0.72,0,0,43.87",3409.33,28,95461.24,-44.8,-0.05,93.24,0.10,-44.8,-0.05,-2205.71,-0.02
545,Exit long,2025-09-02 03:25,Long Exit,3483.79,16,55636.32,104.32,0.19,104.32,0.19,-31.04,-0.06,-2101.39,-0.02
545,Entry long,2025-09-02 02:00," | F:75,67,3,0,0.94,0,1,52.59",3477.27,16,55636.32,104.32,0.19,104.32,0.19,-31.04,-0.06,-2101.39,-0.02
546,Exit long,2025-09-03 05:35,Long Exit,3537.35,16,56643.36,-45.76,-0.08,3.52,0.01,-45.76,-0.08,-2147.15,-0.02
546,Entry long,2025-09-03 05:30," | F:70,9,0,0,0.76,0,1,53.81",3540.21,16,56643.36,-45.76,-0.08,3.52,0.01,-45.76,-0.08,-2147.15,-0.02
547,Exit short,2025-09-04 04:30,Short Exit,3551.14,12,42712.8,99.12,0.23,99.12,0.23,-32.76,-0.08,-2048.03,-0.02
547,Entry short,2025-09-04 04:00," | F:50,26,0,1,0.7,0,1,50.59",3559.4,12,42712.8,99.12,0.23,99.12,0.23,-32.76,-0.08,-2048.03,-0.02
548,Exit long,2025-09-04 14:45,Long Exit,3547.03,14,49557.62,100.8,0.20,100.8,0.20,-43.82,-0.09,-1947.23,-0.02
548,Entry long,2025-09-04 14:05," | F:55,45,1,0,0.64,0,0,48.16",3539.83,14,49557.62,100.8,0.20,100.8,0.20,-43.82,-0.09,-1947.23,-0.02
549,Exit short,2025-09-05 02:30,Short Exit,3544.5,23,81478.19,-45.31,-0.06,0,0.00,-45.31,-0.06,-1992.54,-0.02
549,Entry short,2025-09-05 02:20," | F:70,17,3,1,1.06,0,0,46.15",3542.53,23,81478.19,-45.31,-0.06,0,0.00,-45.31,-0.06,-1992.54,-0.02
550,Exit long,2025-09-09 21:40,Long Exit,3641.19,30,109280.1,-44.4,-0.04,72.9,0.07,-44.4,-0.04,-2036.94,-0.02
550,Entry long,2025-09-09 20:45," | F:55,27,2,0,1.21,0,0,44.04",3642.67,30,109280.1,-44.4,-0.04,72.9,0.07,-44.4,-0.04,-2036.94,-0.02
551,Exit short,2025-09-10 05:35,Short Exit,3635.35,21,76296.57,-45.78,-0.06,38.43,0.05,-45.78,-0.06,-2082.72,-0.02
551,Entry short,2025-09-10 05:25," | F:70,33,0,1,0.68,0,0,58.08",3633.17,21,76296.57,-45.78,-0.06,38.43,0.05,-45.78,-0.06,-2082.72,-0.02
552,Exit long,2025-09-11 05:15,Long Exit,3639.64,18,65560.86,-47.34,-0.07,21.06,0.03,-47.34,-0.07,-2130.06,-0.02
552,Entry long,2025-09-11 05:00," | F:45,36,0,0,0.66,0,0,44.99",3642.27,18,65560.86,-47.34,-0.07,21.06,0.03,-47.34,-0.07,-2130.06,-0.02
553,Exit short,2025-09-11 09:30,Short Exit,3634.22,20,72638.2,-46.2,-0.06,14.4,0.02,-46.2,-0.06,-2176.26,-0.02
553,Entry short,2025-09-11 09:20," | F:70,22,0,1,0.37,0,0,52.35",3631.91,20,72638.2,-46.2,-0.06,14.4,0.02,-46.2,-0.06,-2176.26,-0.02
554,Exit short,2025-09-12 11:10,Short Exit,3645.42,26,94887,106.08,0.11,106.08,0.11,0,0.00,-2070.18,-0.02
554,Entry short,2025-09-12 11:05," | F:55,8,1,1,1.01,0,1,45.11",3649.5,26,94887,106.08,0.11,106.08,0.11,0,0.00,-2070.18,-0.02
555,Exit long,2025-09-12 12:20,Long Exit,3644.37,22,80070.98,105.16,0.13,105.16,0.13,-1.32,0.00,-1965.02,-0.02
555,Entry long,2025-09-12 12:10," | F:70,99,1,0,0.76,0,0,32.33",3639.59,22,80070.98,105.16,0.13,105.16,0.13,-1.32,0.00,-1965.02,-0.02
556,Exit long,2025-09-12 22:05,Long Exit,3647.05,31,113102.88,-44.33,-0.04,31,0.03,-44.33,-0.04,-2009.35,-0.02
556,Entry long,2025-09-12 21:10," | F:75,19,2,0,1.16,0,1,51.64",3648.48,31,113102.88,-44.33,-0.04,31,0.03,-44.33,-0.04,-2009.35,-0.02
