Trade #,Type,Date and time,Signal,Price CAD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
29,Exit long,2023-04-26 19:00,Long Exit,1.6976,48077,81655.89988,-29.62,-0.05,33.85,0.06,-29.62,-0.05,-326.84,0.00
29,Entry long,2023-04-26 18:15," | F:75,36,2,0,0.2,1,1,38.38,1,0,27.82",1.69844,48077,81655.89988,-29.62,-0.05,33.85,0.06,-29.62,-0.05,-326.84,0.00
30,Exit long,2023-04-27 15:55,Long Exit,1.69596,41667,70707.23232,-30.55,-0.06,0.31,0.00,-30.55,-0.06,-357.38,0.00
30,Entry long,2023-04-27 15:45," | F:55,27,2,0,0.73,0,0,37.87,1,0,28.14",1.69696,41667,70707.23232,-30.55,-0.06,0.31,0.00,-30.55,-0.06,-357.38,0.00
31,Exit long,2023-05-03 21:00,Long Exit,1.70994,38462,65660.01868,79.01,0.16,79.01,0.16,-23.14,-0.05,-278.37,0.00
31,Entry long,2023-05-03 20:10," | F:70,32,2,0,0.88,0,1,48.63,1,0,18.34",1.70714,38462,65660.01868,79.01,0.16,79.01,0.16,-23.14,-0.05,-278.37,0.00
32,Exit long,2023-05-03 21:30,Long Exit,1.70685,46296,79061.06808,-29.89,-0.05,11.89,0.02,-29.89,-0.05,-308.26,0.00
32,Entry long,2023-05-03 21:25," | F:65,12,2,0,0.7,0,1,51.4,1,0,18.22",1.70773,46296,79061.06808,-29.89,-0.05,11.89,0.02,-29.89,-0.05,-308.26,0.00
33,Exit long,2023-05-04 09:50,Long Exit,1.70998,74627,127645.7522,-25.75,-0.03,50.95,0.05,-25.75,-0.03,-334.01,0.00
33,Entry long,2023-05-04 09:40," | F:70,9,0,0,1.23,0,1,50.05,1,0,26.1",1.71045,74627,127645.7522,-25.75,-0.03,50.95,0.05,-25.75,-0.03,-334.01,0.00
34,Exit long,2023-06-13 13:45,Time Stop (Bars),1.6785,41667,69897.22584,30.53,0.06,52.02,0.10,-25.54,-0.05,-303.48,0.00
34,Entry long,2023-06-13 10:45," | F:75,17,1,0,1.14,1,1,55.37,1,0,28.02",1.67752,41667,69897.22584,30.53,0.06,52.02,0.10,-25.54,-0.05,-303.48,0.00
35,Exit long,2023-06-21 10:20,Long Exit,1.68917,63291,106946.6002,-28.2,-0.03,13.86,0.02,-28.2,-0.03,-331.68,0.00
35,Entry long,2023-06-21 10:15," | F:75,11,1,0,1.01,1,1,53,1,0,44.72",1.68976,63291,106946.6002,-28.2,-0.03,13.86,0.02,-28.2,-0.03,-331.68,0.00
36,Exit long,2023-06-28 10:25,Long Exit,1.68212,51020,85861.558,-30.15,-0.05,4.64,0.01,-30.15,-0.05,-361.83,0.00
36,Entry long,2023-06-28 10:15," | F:70,14,1,0,1.38,0,1,58.56,1,0,27.52",1.6829,51020,85861.558,-30.15,-0.05,4.64,0.01,-30.15,-0.05,-361.83,0.00
37,Exit long,2023-07-03 08:45,Long Exit,1.68162,121951,205100.8503,-19.32,-0.01,35.88,0.02,-19.32,-0.01,-381.15,0.00
37,Entry long,2023-07-03 08:25," | F:65,16,0,0,0.34,0,1,44.86,1,0,12.31",1.68183,121951,205100.8503,-19.32,-0.01,35.88,0.02,-19.32,-0.01,-381.15,0.00
38,Exit long,2023-07-04 10:05,Long Exit,1.68078,66667,112089.2271,-27.66,-0.03,61.86,0.07,-27.66,-0.03,-408.81,0.00
38,Entry long,2023-07-04 09:15," | F:70,10,0,0,0.53,0,1,52.82,1,0,15.58",1.68133,66667,112089.2271,-27.66,-0.03,61.86,0.07,-27.66,-0.03,-408.81,0.00
39,Exit long,2023-07-06 10:00,Long Exit,1.68879,106383,179687.27,-21.62,-0.02,96.88,0.07,-21.62,-0.02,-430.43,0.00
39,Entry long,2023-07-06 09:30," | F:65,15,0,0,0.56,0,1,49.18,1,0,28.46",1.68906,106383,179687.27,-21.62,-0.02,96.88,0.07,-21.62,-0.02,-430.43,0.00
40,Exit long,2023-07-13 20:45,Time Stop (Bars),1.72047,33784,58084.15552,30.48,0.07,61.47,0.14,-25.35,-0.06,-399.95,0.00
40,Entry long,2023-07-13 17:45," | F:75,35,2,0,0.46,1,1,40.06,1,0,23.99",1.71928,33784,58084.15552,30.48,0.07,61.47,0.14,-25.35,-0.06,-399.95,0.00
41,Exit long,2023-07-14 20:55,Long Exit,1.73119,90909,157412.5699,-24.25,-0.02,42.96,0.04,-24.25,-0.02,-424.21,0.00
41,Entry long,2023-07-14 20:10," | F:80,13,2,0,0.48,1,1,59.12,1,0,40.89",1.73154,90909,157412.5699,-24.25,-0.02,42.96,0.04,-24.25,-0.02,-424.21,0.00
42,Exit long,2023-07-27 00:00,Time Stop (Bars),1.70875,20161,34433.37512,12.7,0.05,37.03,0.14,-13.62,-0.05,-411.51,0.00
42,Entry long,2023-07-26 21:00," | F:75,43,2,0,1.4,0,1,46.79,1,0,16.6",1.70792,20161,34433.37512,12.7,0.05,37.03,0.14,-13.62,-0.05,-411.51,0.00
43,Exit long,2023-08-02 15:50,Long Exit,1.69459,54945,93148.2585,-29.39,-0.04,13.66,0.02,-29.39,-0.04,-440.9,0.00
43,Entry long,2023-08-02 15:40," | F:55,248,2,0,0.61,0,0,21.67,1,0,37.66",1.6953,54945,93148.2585,-29.39,-0.04,13.66,0.02,-29.39,-0.04,-440.9,0.00
44,Exit long,2023-08-08 08:45,Long Exit,1.7089,92593,158263.6593,-23.53,-0.02,21.46,0.02,-23.53,-0.02,-464.43,0.00
44,Entry long,2023-08-08 08:25," | F:70,7,0,0,1,0,1,63.34,1,0,20.18",1.70924,92593,158263.6593,-23.53,-0.02,21.46,0.02,-23.53,-0.02,-464.43,0.00
45,Exit long,2023-08-08 22:55,Long Exit,1.7094,70423,120416.9919,-26.85,-0.03,63.7,0.07,-26.85,-0.03,-491.28,0.00
45,Entry long,2023-08-08 21:25," | F:70,150,2,0,0.48,0,0,30.53,1,0,24.43",1.70991,70423,120416.9919,-26.85,-0.03,63.7,0.07,-26.85,-0.03,-491.28,0.00
46,Exit long,2023-08-09 20:35,Long Exit,1.70845,47619,81395.1567,-30.16,-0.05,16.32,0.03,-30.16,-0.05,-521.43,-0.01
46,Entry long,2023-08-09 20:05," | F:50,86,2,0,0.65,0,0,44.77,1,0,16.29",1.7093,47619,81395.1567,-30.16,-0.05,16.32,0.03,-30.16,-0.05,-521.43,-0.01
47,Exit long,2023-08-11 17:10,Long Exit,1.70674,18797,32127.8324,-34.38,-0.14,18.31,0.08,-34.38,-0.14,-555.81,-0.01
47,Entry long,2023-08-11 16:00," | F:70,63,2,0,0.51,0,1,47.36,1,0,36.56",1.7092,18797,32127.8324,-34.38,-0.14,18.31,0.08,-34.38,-0.14,-555.81,-0.01
48,Exit long,2023-08-11 23:45,Time Stop (Bars),1.70716,83333,142191.0979,53.28,0.05,114.61,0.11,-12.39,-0.01,-502.53,-0.01
48,Entry long,2023-08-11 20:45," | F:45,9,2,0,0.67,0,0,49.13,1,0,14.1",1.7063,83333,142191.0979,53.28,0.05,114.61,0.11,-12.39,-0.01,-502.53,-0.01
49,Exit long,2023-08-14 14:30,Long Exit,1.70699,79365,135509.3883,-25.37,-0.03,18.29,0.02,-25.37,-0.03,-527.9,-0.01
49,Entry long,2023-08-14 14:05," | F:70,13,1,0,0.73,0,1,46.08,1,0,19.69",1.70742,79365,135509.3883,-25.37,-0.03,18.29,0.02,-25.37,-0.03,-527.9,-0.01
50,Exit long,2023-08-17 11:55,Long Exit,1.72149,83333,143490.2594,-24.63,-0.02,79.42,0.07,-24.63,-0.02,-552.53,-0.01
50,Entry long,2023-08-17 10:10," | F:65,9,1,0,0.92,0,1,47.28,1,0,26.81",1.72189,83333,143490.2594,-24.63,-0.02,79.42,0.07,-24.63,-0.02,-552.53,-0.01
51,Exit long,2023-08-17 17:20,Long Exit,1.72279,36496,62917.64416,-31.55,-0.07,65.79,0.14,-31.55,-0.07,-584.07,-0.01
51,Entry long,2023-08-17 15:30," | F:70,10,2,0,0.57,0,1,63.6,1,0,27.24",1.72396,36496,62917.64416,-31.55,-0.07,65.79,0.14,-31.55,-0.07,-584.07,-0.01
52,Exit long,2023-08-18 11:55,Long Exit,1.7222,68493,117994.9459,-26.79,-0.03,67.24,0.08,-26.79,-0.03,-610.87,-0.01
52,Entry long,2023-08-18 11:05," | F:55,10,1,0,0.71,0,0,43.18,1,0,29.69",1.72273,68493,117994.9459,-26.79,-0.03,67.24,0.08,-26.79,-0.03,-610.87,-0.01
53,Exit short,2023-08-23 15:45,Short Exit,1.71586,63291,108561.1536,-27.54,-0.03,27.07,0.03,-27.54,-0.03,-638.41,-0.01
53,Entry short,2023-08-23 15:35," | F:70,11,2,1,0.96,0,0,51.53,0,0,23.6",1.71527,63291,108561.1536,-27.54,-0.03,27.07,0.03,-27.54,-0.03,-638.41,-0.01
54,Exit long,2023-10-02 21:10,Long Exit,1.65521,75758,125430.2479,-25.65,-0.03,17.84,0.02,-25.65,-0.03,-664.06,-0.01
54,Entry long,2023-10-02 21:00," | F:75,55,2,0,1.21,0,1,40.23,1,0,14.81",1.65567,75758,125430.2479,-25.65,-0.03,17.84,0.02,-25.65,-0.03,-664.06,-0.01
55,Exit long,2023-10-03 20:40,Long Exit,1.65583,121951,201955.734,-18.72,-0.01,41.02,0.03,-18.72,-0.01,-682.78,-0.01
55,Entry long,2023-10-03 20:30," | F:75,8,2,0,0.57,0,1,47.98,1,0,8.31",1.65604,121951,201955.734,-18.72,-0.01,41.02,0.03,-18.72,-0.01,-682.78,-0.01
56,Exit long,2023-10-11 09:30,Long Exit,1.66989,71429,119314.2873,-26.28,-0.03,15.24,0.02,-26.28,-0.03,-709.06,-0.01
56,Entry long,2023-10-11 09:05," | F:70,55,0,0,0.97,0,1,44.6,1,0,18.48",1.67039,71429,119314.2873,-26.28,-0.03,15.24,0.02,-26.28,-0.03,-709.06,-0.01
57,Exit long,2023-10-11 18:30,Time Stop (Bars),1.67402,20080,33573.3584,30.14,0.12,55.86,0.23,-10.34,-0.04,-678.92,-0.01
57,Entry long,2023-10-11 15:30," | F:75,34,2,0,0.72,0,1,56.45,1,0,23.27",1.67198,20080,33573.3584,30.14,0.12,55.86,0.23,-10.34,-0.04,-678.92,-0.01
58,Exit long,2023-10-12 17:50,Long Exit,1.66861,57471,95935.19088,-28.32,-0.04,6.76,0.01,-28.32,-0.04,-707.24,-0.01
58,Entry long,2023-10-12 17:35," | F:55,8,2,0,0.86,0,0,49.6,1,0,21.59",1.66928,57471,95935.19088,-28.32,-0.04,6.76,0.01,-28.32,-0.04,-707.24,-0.01
59,Exit short,2023-10-16 16:50,Short Exit,1.65614,43860,72747.0732,79.6,0.15,79.6,0.15,-4.81,-0.01,-627.64,-0.01
59,Entry short,2023-10-16 16:35," | F:70,19,2,1,0.82,0,0,52.9,0,0,12.06",1.65862,43860,72747.0732,79.6,0.15,79.6,0.15,-4.81,-0.01,-627.64,-0.01
60,Exit long,2023-10-27 07:55,Long Exit,1.67563,119048,199506.5908,-18.93,-0.01,5.16,0.00,-18.93,-0.01,-646.57,-0.01
60,Entry long,2023-10-27 07:45," | F:70,9,0,0,0.45,0,1,51.81,1,0,13.52",1.67585,119048,199506.5908,-18.93,-0.01,5.16,0.00,-18.93,-0.01,-646.57,-0.01
61,Exit long,2023-10-31 13:45,Long Exit,1.68473,60976,102765.9016,-27.33,-0.04,21.6,0.03,-27.33,-0.04,-673.9,-0.01
61,Entry long,2023-10-31 13:30," | F:75,9,1,0,0.64,0,1,57.01,1,0,32.52",1.68535,60976,102765.9016,-27.33,-0.04,21.6,0.03,-27.33,-0.04,-673.9,-0.01
62,Exit long,2023-10-31 14:30,Long Exit,1.68362,52083,87727.56354,-28.61,-0.05,30.87,0.05,-28.61,-0.05,-702.51,-0.01
62,Entry long,2023-10-31 14:00," | F:80,24,2,0,1.41,1,1,47.11,1,0,25",1.68438,52083,87727.56354,-28.61,-0.05,30.87,0.05,-28.61,-0.05,-702.51,-0.01
63,Exit long,2023-11-07 19:40,Long Exit,1.68972,60976,103070.1718,-27.58,-0.04,12.46,0.02,-27.58,-0.04,-730.09,-0.01
63,Entry long,2023-11-07 19:30," | F:55,52,2,0,1.05,0,0,37.15,1,0,20.02",1.69034,60976,103070.1718,-27.58,-0.04,12.46,0.02,-27.58,-0.04,-730.09,-0.01
