Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit long,2024-01-03 03:20,Long Exit,179.46,87599,15700981.96,137.56,0.12,137.56,0.12,-28.38,-0.03,137.56,0.00
1,Entry long,2024-01-03 02:30," | F:50,3,19,1,0,45.3",179.237,87599,15700981.96,137.56,0.12,137.56,0.12,-28.38,-0.03,137.56,0.00
2,Exit short,2024-01-04 06:10,Short Exit,181.717,113760,20667234.24,-34.13,-0.02,0,0.00,-34.13,-0.02,103.43,0.00
2,Entry short,2024-01-04 06:00," | F:55,3,118,1,1,61.44",181.674,113760,20667234.24,-34.13,-0.02,0,0.00,-34.13,-0.02,103.43,0.00
3,Exit long,2024-01-04 18:35,Long Exit,183.442,96341,17678284.48,-36.97,-0.03,28.9,0.02,-36.97,-0.03,66.46,0.00
3,Entry long,2024-01-04 18:25," | F:75,3,22,1,1,47.26",183.497,96341,17678284.48,-36.97,-0.03,28.9,0.02,-36.97,-0.03,66.46,0.00
4,Exit short,2024-01-05 02:40,Short Exit,183.68,52829,9697449.727,-42.72,-0.06,20.45,0.03,-42.72,-0.06,23.74,0.00
4,Entry short,2024-01-05 02:00," | F:60,3,98,1,1,60.08",183.563,52829,9697449.727,-42.72,-0.06,20.45,0.03,-42.72,-0.06,23.74,0.00
5,Exit short,2024-01-08 09:15,Short Exit,183.435,50074,9179115.014,-42.92,-0.07,16.96,0.03,-42.92,-0.07,-19.18,0.00
5,Entry short,2024-01-08 08:20," | F:70,3,7,1,0,30.91",183.311,50074,9179115.014,-42.92,-0.07,16.96,0.03,-42.92,-0.07,-19.18,0.00
6,Exit short,2024-01-08 12:20,Short Exit,183.256,63271,11588842.9,-41.11,-0.05,17.06,0.02,-41.11,-0.05,-60.3,0.00
6,Entry short,2024-01-08 12:10," | F:70,3,9,1,0,38.5",183.162,63271,11588842.9,-41.11,-0.05,17.06,0.02,-41.11,-0.05,-60.3,0.00
7,Exit long,2024-01-09 00:00,Long Exit,183.761,147031,27022827.49,-29.56,-0.02,130.1,0.07,-29.56,-0.02,-89.86,0.00
7,Entry long,2024-01-08 21:35," | F:70,3,7,1,1,62.23",183.79,147031,27022827.49,-29.56,-0.02,130.1,0.07,-29.56,-0.02,-89.86,0.00
8,Exit long,2024-01-09 03:30,Long Exit,183.324,89861,16479069.62,-37.37,-0.03,94.06,0.08,-37.37,-0.03,-127.23,0.00
8,Entry long,2024-01-09 03:10," | F:60,3,108,1,0,27.43",183.384,89861,16479069.62,-37.37,-0.03,94.06,0.08,-37.37,-0.03,-127.23,0.00
9,Exit long,2024-01-09 13:25,Long Exit,183.101,58985,10806228.96,-41.71,-0.06,69.1,0.09,-41.71,-0.06,-168.94,0.00
9,Entry long,2024-01-09 11:20," | F:50,3,48,1,0,35.76",183.203,58985,10806228.96,-41.71,-0.06,69.1,0.09,-41.71,-0.06,-168.94,0.00
10,Exit long,2024-01-11 02:15,Long Exit,185.583,91028,16898711,-37.46,-0.03,3.12,0.00,-37.46,-0.03,-206.4,0.00
10,Entry long,2024-01-11 02:10," | F:70,3,13,1,1,49.89",185.643,91028,16898711,-37.46,-0.03,3.12,0.00,-37.46,-0.03,-206.4,0.00
11,Exit long,2024-01-11 12:30,Long Exit,185.312,145483,26964110.19,-29.94,-0.02,115.75,0.06,-29.94,-0.02,-236.33,0.00
11,Entry long,2024-01-11 11:40," | F:70,3,193,1,0,28.25",185.342,145483,26964110.19,-29.94,-0.02,115.75,0.06,-29.94,-0.02,-236.33,0.00
12,Exit long,2024-01-15 11:35,Long Exit,185.244,51966,9632625.624,-43.03,-0.06,30.84,0.05,-43.03,-0.06,-279.36,0.00
12,Entry long,2024-01-15 11:00," | F:75,3,32,1,1,50.48",185.364,51966,9632625.624,-43.03,-0.06,30.84,0.05,-43.03,-0.06,-279.36,0.00
13,Exit short,2024-01-16 00:00,Short Exit,185.406,134994,25053266.47,168.52,0.10,168.52,0.10,-0.93,0.00,-110.84,0.00
13,Entry short,2024-01-15 21:00," | F:50,3,29,1,1,56.96",185.588,134994,25053266.47,168.52,0.10,168.52,0.10,-0.93,0.00,-110.84,0.00
14,Exit long,2024-01-17 00:40,Long Exit,185.851,70088,13031882.37,-40.46,-0.05,28.56,0.03,-40.46,-0.05,-151.31,0.00
14,Entry long,2024-01-17 00:00," | F:65,3,32,1,1,41.3",185.936,70088,13031882.37,-40.46,-0.05,28.56,0.03,-40.46,-0.05,-151.31,0.00
15,Exit short,2024-01-17 06:45,Short Exit,185.998,141681,26347848.85,-30.79,-0.02,89.49,0.05,-30.79,-0.02,-182.1,0.00
