Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
54,Exit long,2023-09-13 19:20,Long Exit,184.079,167505,30838173.02,-27.32,-0.01,33.01,0.02,-27.32,-0.01,-442.93,0.00
54,Entry long,2023-09-13 19:10," | F:80,36,2,0,0.36,1,1,42.49,1,0,14.87",184.103,167505,30838173.02,-27.32,-0.01,33.01,0.02,-27.32,-0.01,-442.93,0.00
55,Exit long,2023-09-13 23:15,Time Stop (Bars),184.147,83655,15400216.26,31.27,0.03,71.06,0.07,-25.01,-0.02,-411.66,0.00
55,Entry long,2023-09-13 20:15," | F:75,7,2,0,0.5,0,1,47.4,1,0,12.62",184.092,83655,15400216.26,31.27,0.03,71.06,0.07,-25.01,-0.02,-411.66,0.00
56,Exit short,2023-09-26 16:25,Short Exit,181.446,101959,18494648.89,-36.29,-0.03,50.67,0.04,-36.29,-0.03,-447.95,0.00
56,Entry short,2023-09-26 16:00," | F:70,19,2,1,0.75,0,0,50.76,0,0,11.62",181.393,101959,18494648.89,-36.29,-0.03,50.67,0.04,-36.29,-0.03,-447.95,0.00
57,Exit long,2023-09-28 20:15,Long Exit,182.083,124366,22649909.02,-33.26,-0.02,9.98,0.01,-33.26,-0.02,-481.21,0.00
57,Entry long,2023-09-28 20:05," | F:75,29,2,0,1.45,0,1,40.37,1,0,18.44",182.123,124366,22649909.02,-33.26,-0.02,9.98,0.01,-33.26,-0.02,-481.21,0.00
58,Exit long,2023-09-29 16:30,Long Exit,182.618,30818,5634763.12,-45.81,-0.12,22.91,0.06,-45.81,-0.12,-527.02,-0.01
58,Entry long,2023-09-29 15:35," | F:80,36,2,0,0.64,1,1,53.5,1,0,20.12",182.84,30818,5634763.12,-45.81,-0.12,22.91,0.06,-45.81,-0.12,-527.02,-0.01
59,Exit long,2023-10-02 07:20,Long Exit,182.567,192040,35063815.44,-24.42,-0.01,5.14,0.00,-24.42,-0.01,-551.44,-0.01
59,Entry long,2023-10-02 07:15," | F:70,7,0,0,0.94,0,1,56.84,1,0,16.79",182.586,192040,35063815.44,-24.42,-0.01,5.14,0.00,-24.42,-0.01,-551.44,-0.01
60,Exit long,2023-10-09 17:25,Long Exit,181.488,67574,12269951.77,-40.73,-0.05,20.36,0.02,-40.73,-0.05,-592.17,-0.01
60,Entry long,2023-10-09 17:15," | F:55,20,2,0,1.04,1,0,40.97,1,0,25.13",181.578,67574,12269951.77,-40.73,-0.05,20.36,0.02,-40.73,-0.05,-592.17,-0.01
61,Exit long,2023-10-18 16:40,Long Exit,182.198,92440,16848021.96,-37.63,-0.03,53.67,0.05,-37.63,-0.03,-629.8,-0.01
61,Entry long,2023-10-18 16:25," | F:50,115,2,0,0.23,0,0,36.78,1,0,19.96",182.259,92440,16848021.96,-37.63,-0.03,53.67,0.05,-37.63,-0.03,-629.8,-0.01
62,Exit long,2023-10-20 15:40,Long Exit,182.124,66953,12177411.64,109.05,0.13,109.05,0.13,0,0.00,-520.76,-0.01
62,Entry long,2023-10-20 15:25," | F:75,18,2,0,1.15,0,1,45.63,0,0,15.05",181.88,66953,12177411.64,109.05,0.13,109.05,0.13,0,0.00,-520.76,-0.01
63,Exit short,2023-10-20 19:10,Short Exit,181.884,79714,14519028.25,135.68,0.14,135.68,0.14,-22.88,-0.02,-385.07,0.00
63,Entry short,2023-10-20 18:05," | F:50,6,2,1,0.9,0,1,54.3,1,0,10.43",182.139,79714,14519028.25,135.68,0.14,135.68,0.14,-22.88,-0.02,-385.07,0.00
64,Exit long,2023-10-23 09:15,Long Exit,182.132,83293,15176151.19,-38.9,-0.04,8.89,0.01,-38.9,-0.04,-423.97,0.00
64,Entry long,2023-10-23 09:00," | F:70,16,0,0,0.79,0,1,55.84,1,0,15.97",182.202,83293,15176151.19,-38.9,-0.04,8.89,0.01,-38.9,-0.04,-423.97,0.00
65,Exit long,2023-10-23 16:40,Long Exit,182.212,66338,12093749.09,-41.16,-0.05,10.62,0.01,-41.16,-0.05,-465.13,0.00
65,Entry long,2023-10-23 16:35," | F:75,37,2,0,0.59,0,1,42.75,1,0,17.36",182.305,66338,12093749.09,-41.16,-0.05,10.62,0.01,-41.16,-0.05,-465.13,0.00
66,Exit long,2023-10-26 20:55,Long Exit,182.411,62095,11310542.15,108.3,0.14,108.3,0.14,-6.61,-0.01,-356.82,0.00
66,Entry long,2023-10-26 20:30," | F:80,9,2,0,0.84,1,1,53.22,0,0,16.07",182.149,62095,11310542.15,108.3,0.14,108.3,0.14,-6.61,-0.01,-356.82,0.00
67,Exit long,2023-10-27 08:45,Long Exit,182.224,153241,27928631.97,-29.54,-0.02,4.07,0.00,-29.54,-0.02,-386.37,0.00
67,Entry long,2023-10-27 08:40," | F:75,26,0,0,0.72,1,1,42.08,1,0,16.03",182.253,153241,27928631.97,-29.54,-0.02,4.07,0.00,-29.54,-0.02,-386.37,0.00
68,Exit long,2023-10-31 22:05,Time Stop (Bars),184.21,19807,3640467.179,54.86,0.22,58.18,0.24,-21.25,-0.09,-331.51,0.00
