Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
1,Exit short,2023-01-04 15:35,Short Exit,1861.96,21,39055.8,-45.36,-0.12,27.3,0.07,-45.36,-0.12,-45.36,0.00
1,Entry short,2023-01-04 15:30," | F:50,27,2,1,0.79,0,1,62.79,0,1.88,26.57",1859.8,21,39055.8,-45.36,-0.12,27.3,0.07,-45.36,-0.12,-45.36,0.00
2,Exit long,2023-01-16 15:35,Long Exit,1913.87,68,130003.76,139.4,0.11,139.4,0.11,-18.36,-0.01,94.04,0.00
2,Entry long,2023-01-16 15:25," | F:55,55,2,0,0.58,0,0,30.91,1,1.08,32.71",1911.82,68,130003.76,139.4,0.11,139.4,0.11,-18.36,-0.01,94.04,0.00
3,Exit long,2023-01-20 23:00,Time Stop (Bars),1927.16,20,38532.2,11,0.03,85.6,0.22,-39.6,-0.10,105.04,0.00
3,Entry long,2023-01-20 20:00," | F:50,12,2,0,1.61,0,0,54.86,1,2.41,10.14",1926.61,20,38532.2,11,0.03,85.6,0.22,-39.6,-0.10,105.04,0.00
4,Exit long,2023-01-24 16:50,Long Exit,1925.47,18,34706.16,-47.7,-0.14,1.26,0.00,-47.7,-0.14,57.34,0.00
4,Entry long,2023-01-24 16:45," | F:70,215,2,0,0.86,0,0,26.29,1,2.95,47.94",1928.12,18,34706.16,-47.7,-0.14,1.26,0.00,-47.7,-0.14,57.34,0.00
5,Exit long,2023-01-27 16:30,Long Exit,1925.68,28,53963,-43.96,-0.08,65.24,0.12,-43.96,-0.08,13.38,0.00
5,Entry long,2023-01-27 16:10," | F:75,51,2,0,0.41,0,0,37.98,1,1.62,21.63",1927.25,28,53963,-43.96,-0.08,65.24,0.12,-43.96,-0.08,13.38,0.00
6,Exit short,2023-02-02 15:40,Short Exit,1948.03,22,42962.26,105.6,0.25,105.6,0.25,-26.62,-0.06,118.98,0.00
6,Entry short,2023-02-02 15:15," | F:50,9,2,1,0.46,0,1,40.74,1,2.14,19.85",1952.83,22,42962.26,105.6,0.25,105.6,0.25,-26.62,-0.06,118.98,0.00
7,Exit short,2023-02-09 15:40,Short Exit,1882.89,42,79039.8,-41.58,-0.05,101.64,0.13,-41.58,-0.05,77.4,0.00
7,Entry short,2023-02-09 15:15," | F:50,10,2,1,1.45,0,1,48.47,0,1.32,11.4",1881.9,42,79039.8,-41.58,-0.05,101.64,0.13,-41.58,-0.05,77.4,0.00
8,Exit short,2023-02-14 21:05,Short Exit,1851.88,22,40846.08,104.72,0.26,104.72,0.26,-18.7,-0.05,182.12,0.00
8,Entry short,2023-02-14 20:20," | F:70,34,2,1,0.95,0,1,64.02,0,1.17,19.81",1856.64,22,40846.08,104.72,0.26,104.72,0.26,-18.7,-0.05,182.12,0.00
9,Exit short,2023-02-15 18:45,Short Exit,1836.76,26,47710.26,-45.5,-0.10,101.14,0.21,-45.5,-0.10,136.62,0.00
9,Entry short,2023-02-15 18:05," | F:75,17,2,1,1.05,0,0,52.19,0,0.73,14.91",1835.01,26,47710.26,-45.5,-0.10,101.14,0.21,-45.5,-0.10,136.62,0.00
10,Exit long,2023-02-17 16:45,Long Exit,1824.14,30,54767.7,-43.5,-0.08,1.8,0.00,-43.5,-0.08,93.12,0.00
10,Entry long,2023-02-17 16:40," | F:45,34,2,0,0.74,0,0,44.47,0,1.44,18.47",1825.59,30,54767.7,-43.5,-0.08,1.8,0.00,-43.5,-0.08,93.12,0.00
11,Exit long,2023-02-20 19:00,Long Exit,1842.23,46,84783.06,-40.48,-0.05,41.4,0.05,-40.48,-0.05,52.64,0.00
11,Entry long,2023-02-20 17:35," | F:75,82,2,0,1.41,0,1,39.81,0,0.79,22.2",1843.11,46,84783.06,-40.48,-0.05,41.4,0.05,-40.48,-0.05,52.64,0.00
12,Exit short,2023-02-23 01:05,Time Stop (Bars),1825.63,14,25624.62,65.8,0.26,96.88,0.38,-7.7,-0.03,118.44,0.00
12,Entry short,2023-02-22 21:05," | F:65,9,2,1,0.57,0,0,41.06,0,3.77,26.78",1830.33,14,25624.62,65.8,0.26,96.88,0.38,-7.7,-0.03,118.44,0.00
