Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
71,Entry long,2023-03-15 16:25," | F:70,31,2,0,0.63,0,1,46.9,1,1.01",1919.97,18,34559.46,102.96,0.30,102.96,0.30,-20.7,-0.06,124.3,0.00
72,Exit short,2023-03-16 16:35,Short Exit,1930.22,32,61723.2,-43.84,-0.07,95.36,0.15,-43.84,-0.07,80.46,0.00
72,Entry short,2023-03-16 16:20," | F:55,12,2,1,1.21,0,1,55.24,1,0.84",1928.85,32,61723.2,-43.84,-0.07,95.36,0.15,-43.84,-0.07,80.46,0.00
73,Exit long,2023-03-17 06:50,Long Exit,1930.21,55,106025.15,136.4,0.13,136.4,0.13,-18.7,-0.02,216.86,0.00
73,Entry long,2023-03-17 06:00," | F:70,14,0,0,0.89,0,1,59.23,1,0.69",1927.73,55,106025.15,136.4,0.13,136.4,0.13,-18.7,-0.02,216.86,0.00
74,Exit short,2023-03-21 02:20,Short Exit,1975.64,47,92990.44,135.36,0.15,135.36,0.15,-21.62,-0.02,352.22,0.00
74,Entry short,2023-03-21 02:15," | F:50,22,0,1,0.42,0,1,51.88,1,2.08",1978.52,47,92990.44,135.36,0.15,135.36,0.15,-21.62,-0.02,352.22,0.00
75,Exit short,2023-03-21 21:55,Short Exit,1939.76,32,62028.8,-43.52,-0.07,42.24,0.07,-43.52,-0.07,308.7,0.00
75,Entry short,2023-03-21 21:25," | F:70,15,2,1,0.53,0,0,45.74,1,0.74",1938.4,32,62028.8,-43.52,-0.07,42.24,0.07,-43.52,-0.07,308.7,0.00
76,Exit short,2023-03-22 19:45,Short Exit,1949.26,43,83777.33,-40.85,-0.05,20.64,0.02,-40.85,-0.05,267.85,0.00
76,Entry short,2023-03-22 19:35," | F:50,7,2,1,1.22,0,1,54.82,1,1.01",1948.31,43,83777.33,-40.85,-0.05,20.64,0.02,-40.85,-0.05,267.85,0.00
77,Exit long,2023-03-23 12:05,Long Exit,1979.17,30,59269.5,105.6,0.18,105.6,0.18,-31.2,-0.05,373.45,0.00
77,Entry long,2023-03-23 10:25," | F:70,60,1,0,0.48,0,1,41.94,1,1.05",1975.65,30,59269.5,105.6,0.18,105.6,0.18,-31.2,-0.05,373.45,0.00
78,Exit long,2023-03-29 02:40,Long Exit,1972.1,68,134138.84,-36.04,-0.03,1.36,0.00,-36.04,-0.03,337.41,0.00
78,Entry long,2023-03-29 02:35," | F:70,27,3,0,1.05,0,1,45.96,1,1.08",1972.63,68,134138.84,-36.04,-0.03,1.36,0.00,-36.04,-0.03,337.41,0.00
79,Exit long,2023-03-29 06:20,Long Exit,1966.75,39,76745.76,-42.51,-0.06,90.87,0.12,-42.51,-0.06,294.9,0.00
79,Entry long,2023-03-29 04:30," | F:75,100,0,0,1.23,0,1,28.01,1,1.52",1967.84,39,76745.76,-42.51,-0.06,90.87,0.12,-42.51,-0.06,294.9,0.00
80,Exit long,2023-03-29 22:25,Long Exit,1963.38,19,37349.63,-45.41,-0.12,62.7,0.17,-45.41,-0.12,249.49,0.00
80,Entry long,2023-03-29 20:25," | F:55,13,2,0,1.09,0,1,54.71,1,1.24",1965.77,19,37349.63,-45.41,-0.12,62.7,0.17,-45.41,-0.12,249.49,0.00
81,Exit short,2023-03-30 09:50,Short Exit,1969.25,43,84636.47,-41.28,-0.05,27.09,0.03,-41.28,-0.05,208.21,0.00
81,Entry short,2023-03-30 09:35," | F:75,177,0,1,1.78,0,1,72.74,1,1.22",1968.29,43,84636.47,-41.28,-0.05,27.09,0.03,-41.28,-0.05,208.21,0.00
82,Exit long,2023-03-30 13:30,Long Exit,1969.82,30,58987.8,106.8,0.18,106.8,0.18,-24.6,-0.04,315.01,0.00
82,Entry long,2023-03-30 11:15," | F:70,28,1,0,0.98,0,1,47.71,1,1.19",1966.26,30,58987.8,106.8,0.18,106.8,0.18,-24.6,-0.04,315.01,0.00
83,Exit long,2023-04-03 05:10,Long Exit,1958.35,21,41171.55,-46.2,-0.11,4.2,0.01,-46.2,-0.11,268.81,0.00
83,Entry long,2023-04-03 04:45," | F:50,22,0,0,0.96,0,0,44.45,0,1.6",1960.55,21,41171.55,-46.2,-0.11,4.2,0.01,-46.2,-0.11,268.81,0.00
84,Exit long,2023-04-05 05:35,Long Exit,2022.72,63,127294.02,137.34,0.11,137.34,0.11,-30.24,-0.02,406.15,0.00
84,Entry long,2023-04-05 04:40," | F:70,9,0,0,1.04,0,1,47.17,1,0.72",2020.54,63,127294.02,137.34,0.11,137.34,0.11,-30.24,-0.02,406.15,0.00
85,Exit long,2023-04-05 17:30,Long Exit,2018.77,8,16199.12,-48.96,-0.30,16.64,0.10,-48.96,-0.30,357.19,0.00
85,Entry long,2023-04-05 17:10," | F:65,228,2,0,0.25,0,1,46.59,1,1.78",2024.89,8,16199.12,-48.96,-0.30,16.64,0.10,-48.96,-0.30,357.19,0.00
86,Exit long,2023-04-06 16:10,Long Exit,2009.08,25,50272.5,-45.5,-0.09,6,0.01,-45.5,-0.09,311.69,0.00
86,Entry long,2023-04-06 16:05," | F:50,124,2,0,0.98,0,0,23.59,1,1.48",2010.9,25,50272.5,-45.5,-0.09,6,0.01,-45.5,-0.09,311.69,0.00
87,Exit long,2023-04-11 10:25,Long Exit,2002.73,30,59975.1,106.8,0.18,106.8,0.18,-39.3,-0.07,418.49,0.00
87,Entry long,2023-04-11 10:00," | F:70,28,1,0,0.67,0,1,48.37,1,1.71",1999.17,30,59975.1,106.8,0.18,106.8,0.18,-39.3,-0.07,418.49,0.00
