Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
38,Entry long,2023-05-23 07:10," | F:70,40,0,0,1.24,0,1,38.71,1,0,25.94,0",138.557,69977,9695803.189,-39.87,-0.06,14.64,0.02,-39.87,-0.06,1168.71,0.01
39,Exit long,2023-05-25 18:25,Long Exit,139.845,67099,9364671.935,134.71,0.20,134.71,0.20,-24.05,-0.04,1303.41,0.01
39,Entry long,2023-05-25 17:10," | F:75,10,2,0,1.1,0,1,49.56,1,0,17.37,0",139.565,67099,9364671.935,134.71,0.20,134.71,0.20,-24.05,-0.04,1303.41,0.01
40,Exit long,2023-05-30 10:10,Long Exit,140.209,81554,11439987.35,-38.31,-0.05,1.16,0.00,-38.31,-0.05,1265.1,0.01
40,Entry long,2023-05-30 10:05," | F:55,41,1,0,0.17,1,0,36.18,1,0,46.88,0",140.275,81554,11439987.35,-38.31,-0.05,1.16,0.00,-38.31,-0.05,1265.1,0.01
41,Exit long,2023-05-30 17:25,Long Exit,139.803,88518,12380304.52,-37.17,-0.04,71.2,0.08,-37.17,-0.04,1227.93,0.01
41,Entry long,2023-05-30 17:10," | F:55,10,2,0,1.01,0,0,49.43,1,0,26.1,0",139.862,88518,12380304.52,-37.17,-0.04,71.2,0.08,-37.17,-0.04,1227.93,0.01
42,Exit long,2023-06-01 15:50,Long Exit,139.2,54417,7580723.436,-42.17,-0.08,0,0.00,-42.17,-0.08,1185.75,0.01
42,Entry long,2023-06-01 15:40," | F:55,137,2,0,0.63,1,0,37.77,1,0,33.98,0",139.308,54417,7580723.436,-42.17,-0.08,0,0.00,-42.17,-0.08,1185.75,0.01
43,Exit long,2023-06-13 11:40,Long Exit,139.506,126855,17701473.55,-31.8,-0.03,23.62,0.02,-31.8,-0.03,1153.95,0.01
43,Entry long,2023-06-13 11:35," | F:80,9,1,0,0.86,1,1,50.56,1,0,11.32,0",139.541,126855,17701473.55,-31.8,-0.03,23.62,0.02,-31.8,-0.03,1153.95,0.01
44,Exit long,2023-06-22 15:20,Long Exit,141.965,83547,11866180.41,-38.27,-0.05,2.36,0.00,-38.27,-0.05,1115.68,0.01
44,Entry long,2023-06-22 15:15," | F:70,12,2,0,0.97,0,1,49.68,1,0,16.47,0",142.03,83547,11866180.41,-38.27,-0.05,2.36,0.00,-38.27,-0.05,1115.68,0.01
45,Exit long,2023-06-23 10:15,Long Exit,143.247,100914,14460774.37,-35.96,-0.04,0,0.00,-35.96,-0.04,1079.72,0.01
45,Entry long,2023-06-23 10:10," | F:75,9,1,0,0.41,1,1,53.69,1,0,33.68,0",143.298,100914,14460774.37,-35.96,-0.04,0,0.00,-35.96,-0.04,1079.72,0.01
46,Exit long,2023-06-28 18:10,Long Exit,144.341,61726,8915579.988,-41.55,-0.07,4.28,0.01,-41.55,-0.07,1038.16,0.01
46,Entry long,2023-06-28 18:05," | F:75,15,2,0,1.3,0,1,52.2,1,0,12.45,0",144.438,61726,8915579.988,-41.55,-0.07,4.28,0.01,-41.55,-0.07,1038.16,0.01
47,Exit long,2023-07-05 12:10,Long Exit,144.25,57284,8269289.104,-42.03,-0.07,19.43,0.03,-42.03,-0.07,996.14,0.01
47,Entry long,2023-07-05 11:10," | F:60,213,1,0,0.68,1,0,28.5,1,0,33.43,0",144.356,57284,8269289.104,-42.03,-0.07,19.43,0.03,-42.03,-0.07,996.14,0.01
48,Exit long,2023-07-05 19:45,Long Exit,144.557,153811,22238609.62,-28.74,-0.02,6.39,0.00,-28.74,-0.02,967.4,0.01
48,Entry long,2023-07-05 19:35," | F:70,8,2,0,0.78,0,1,62.78,1,0,25.43,0",144.584,153811,22238609.62,-28.74,-0.02,6.39,0.00,-28.74,-0.02,967.4,0.01
49,Exit long,2023-07-14 14:10,Long Exit,138.471,91136,12624796.67,-36.95,-0.04,1.32,0.00,-36.95,-0.04,930.45,0.01
49,Entry long,2023-07-14 14:05," | F:75,16,1,0,0.48,0,1,49.22,0,0,38.37,0",138.527,91136,12624796.67,-36.95,-0.04,1.32,0.00,-36.95,-0.04,930.45,0.01
50,Exit short,2023-07-21 15:30,Short Exit,141.338,40259,5705102.89,106.89,0.26,106.89,0.26,-42.81,-0.11,1037.33,0.01
