Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
10,Entry short,2023-01-23 18:10, | F:score=75 | F:fresh=34 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.64 | F:is_accuracy=0 | F:trend=0 | F:rsi=59.64 | F:htf_trend=1 | F:rvol=0.69 | F:adx=26.43 | F:touch_count=1 | F:base_quality=60 | F:departure_strength=40.85 | F:liquidity_distance=0 | F:liquidity_spread=100 | F:return_strength=67.52,1924.1,22,42330.2,73.04,0.17,73.04,0.17,-14.3,-0.03,278.92,0.00
11,Exit long,2023-01-27 16:30,Long Exit,1925.55,30,57818.4,-51.9,-0.09,69,0.12,-51.9,-0.09,227.02,0.00
11,Entry long,2023-01-27 16:10, | F:score=75 | F:fresh=51 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.41 | F:is_accuracy=0 | F:trend=0 | F:rsi=37.98 | F:htf_trend=1 | F:rvol=1.62 | F:adx=21.63 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50.75 | F:liquidity_distance=0 | F:liquidity_spread=100 | F:return_strength=100,1927.28,30,57818.4,-51.9,-0.09,69,0.12,-51.9,-0.09,227.02,0.00
12,Exit short,2023-01-30 13:20,Short Exit,1927.71,66,127377.36,148.5,0.12,148.5,0.12,-40.26,-0.03,375.52,0.00
12,Entry short,2023-01-30 13:00, | F:score=70 | F:fresh=46 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.6 | F:is_accuracy=0 | F:trend=1 | F:rsi=67.1 | F:htf_trend=1 | F:rvol=1.29 | F:adx=36.95 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=50 | F:liquidity_distance=0 | F:liquidity_spread=100 | F:return_strength=54.26,1929.96,66,127377.36,148.5,0.12,148.5,0.12,-40.26,-0.03,375.52,0.00
13,Exit long,2023-02-02 18:20,Long Exit,1921.15,19,36553.91,-52.06,-0.14,3.8,0.01,-52.06,-0.14,323.46,0.00
13,Entry long,2023-02-02 18:05, | F:score=55 | F:fresh=12 | F:session=2 | F:zone_type=0 | F:atr_ratio=1.63 | F:is_accuracy=0 | F:trend=0 | F:rsi=31.1 | F:htf_trend=0 | F:rvol=0.63 | F:adx=55.18 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=29.46 | F:liquidity_distance=0 | F:liquidity_spread=100 | F:return_strength=100,1923.89,19,36553.91,-52.06,-0.14,3.8,0.01,-52.06,-0.14,323.46,0.00
14,Exit short,2023-02-03 09:30,Short Exit,1914.15,43,82433.15,124.7,0.15,124.7,0.15,-42.57,-0.05,448.16,0.00
14,Entry short,2023-02-03 09:10, | F:score=65 | F:fresh=62 | F:session=1 | F:zone_type=1 | F:atr_ratio=0.82 | F:is_accuracy=0 | F:trend=0 | F:rsi=61.24 | F:htf_trend=0 | F:rvol=1.46 | F:adx=13 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=50 | F:liquidity_distance=20 | F:liquidity_spread=100 | F:return_strength=100,1917.05,43,82433.15,124.7,0.15,124.7,0.15,-42.57,-0.05,448.16,0.00
15,Exit long,2023-02-03 18:15,Long Exit,1868.88,3,5630.07,-23.43,-0.42,3.69,0.07,-23.43,-0.42,424.73,0.00
