Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
455,Entry long,2025-06-12 18:05, | F:score=75 | F:fresh=61 | F:session=2 | F:zone_type=0 | F:atr_ratio=1.02 | F:is_accuracy=0 | F:trend=1 | F:rsi=40.1 | F:htf_trend=1 | F:rvol=0.96 | F:adx=17.98 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=54.52 | F:liquidity_distance=95.2 | F:liquidity_spread=10.9 | F:return_strength=100,1.15783,94340,109229.6822,-55.66,-0.05,13.21,0.01,-55.66,-0.05,-3377.18,-0.03
456,Exit long,2025-06-13 16:30,Long Exit,1.15016,68493,78832.01835,-54.11,-0.07,16.44,0.02,-54.11,-0.07,-3431.29,-0.03
456,Entry long,2025-06-13 16:15, | F:score=50 | F:fresh=17 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.48 | F:is_accuracy=0 | F:trend=0 | F:rsi=46.13 | F:htf_trend=1 | F:rvol=0.95 | F:adx=15.5 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=31.45 | F:liquidity_distance=91.8 | F:liquidity_spread=6.5 | F:return_strength=50,1.15095,68493,78832.01835,-54.11,-0.07,16.44,0.02,-54.11,-0.07,-3431.29,-0.03
457,Exit long,2025-06-18 09:25,Long Exit,1.1515,178571,205404.8642,219.64,0.11,219.64,0.11,-41.07,-0.02,-3211.65,-0.03
457,Entry long,2025-06-18 08:15, | F:score=55 | F:fresh=11 | F:session=0 | F:zone_type=0 | F:atr_ratio=0.29 | F:is_accuracy=1 | F:trend=0 | F:rsi=52.35 | F:htf_trend=1 | F:rvol=0.79 | F:adx=19.27 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=50 | F:liquidity_distance=96.6 | F:liquidity_spread=2.9 | F:return_strength=16.67,1.15027,178571,205404.8642,219.64,0.11,219.64,0.11,-41.07,-0.02,-3211.65,-0.03
458,Exit short,2025-06-18 15:20,Short Exit,1.15145,65789,75723.79689,-28.95,-0.04,11.84,0.02,-28.95,-0.04,-3240.6,-0.03
458,Entry short,2025-06-18 15:15, | F:score=80 | F:fresh=51 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.67 | F:is_accuracy=1 | F:trend=1 | F:rsi=61.73 | F:htf_trend=1 | F:rvol=1.12 | F:adx=22.7 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=60.92 | F:liquidity_distance=95.8 | F:liquidity_spread=13.7 | F:return_strength=36.67,1.15101,65789,75723.79689,-28.95,-0.04,11.84,0.02,-28.95,-0.04,-3240.6,-0.03
459,Exit long,2025-06-19 17:25,Long Exit,1.14701,56180,64492.3928,-53.37,-0.08,15.73,0.02,-53.37,-0.08,-3293.97,-0.03
459,Entry long,2025-06-19 16:45, | F:score=70 | F:fresh=15 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.39 | F:is_accuracy=0 | F:trend=1 | F:rsi=52.87 | F:htf_trend=0 | F:rvol=1.38 | F:adx=14.54 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=57.62 | F:liquidity_distance=98 | F:liquidity_spread=9.3 | F:return_strength=59.53,1.14796,56180,64492.3928,-53.37,-0.08,15.73,0.02,-53.37,-0.08,-3293.97,-0.03
460,Exit short,2025-06-19 20:30,Short Exit,1.14661,69444,79596.01836,-29.17,-0.04,9.72,0.01,-29.17,-0.04,-3323.14,-0.03
460,Entry short,2025-06-19 20:15, | F:score=75 | F:fresh=19 | F:session=2 | F:zone_type=1 | F:atr_ratio=1.02 | F:is_accuracy=0 | F:trend=0 | F:rsi=50.08 | F:htf_trend=0 | F:rvol=0.54 | F:adx=25.13 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=55.8 | F:liquidity_distance=94.4 | F:liquidity_spread=7.1 | F:return_strength=49.16,1.14619,69444,79596.01836,-29.17,-0.04,9.72,0.01,-29.17,-0.04,-3323.14,-0.03
461,Exit long,2025-06-23 20:20,Long Exit,1.15585,35971,41478.1601,98.92,0.24,98.92,0.24,-3.6,-0.01,-3224.22,-0.03
461,Entry long,2025-06-23 19:35, | F:score=75 | F:fresh=28 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.52 | F:is_accuracy=0 | F:trend=1 | F:rsi=51.39 | F:htf_trend=1 | F:rvol=1.18 | F:adx=45.44 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=37.67 | F:liquidity_distance=95.4 | F:liquidity_spread=15.5 | F:return_strength=50,1.1531,35971,41478.1601,98.92,0.24,98.92,0.24,-3.6,-0.01,-3224.22,-0.03
462,Exit short,2025-06-25 08:55,Short Exit,1.16206,166667,193617.0539,-60,-0.03,50,0.03,-60,-0.03,-3284.22,-0.03
