Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
10,Entry long,2023-02-03 15:35, | F:score=55 | F:fresh=55 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.58 | F:is_accuracy=0 | F:trend=0 | F:rsi=35.03 | F:htf_trend=1 | F:rvol=3.96 | F:adx=35.5 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=44.7 | F:liquidity_distance=58.54 | F:liquidity_spread=35.39 | F:return_strength=100,12598.93,1,12598.93,-42.07,-0.33,11.08,0.09,-42.07,-0.33,395.89,0.00
11,Exit short,2023-02-06 10:00,Short Exit,12520.84,4,50032.04,-51.32,-0.10,38.36,0.08,-51.32,-0.10,344.57,0.00
11,Entry short,2023-02-06 09:20, | F:score=65 | F:fresh=11 | F:session=1 | F:zone_type=1 | F:atr_ratio=1.37 | F:is_accuracy=0 | F:trend=0 | F:rsi=46.35 | F:htf_trend=1 | F:rvol=1.01 | F:adx=18.11 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=96.54 | F:liquidity_spread=8.51 | F:return_strength=100,12508.01,4,50032.04,-51.32,-0.10,38.36,0.08,-51.32,-0.10,344.57,0.00
12,Exit long,2023-02-09 10:45,Time Stop (Bars),12609.74,1,12562.42,47.32,0.38,67.37,0.54,-18.77,-0.15,391.89,0.00
12,Entry long,2023-02-09 07:45, | F:score=50 | F:fresh=76 | F:session=0 | F:zone_type=0 | F:atr_ratio=0.74 | F:is_accuracy=0 | F:trend=1 | F:rsi=71.88 | F:htf_trend=1 | F:rvol=4.3 | F:adx=24.63 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=20.25 | F:liquidity_distance=95.54 | F:liquidity_spread=8.27 | F:return_strength=50,12562.42,1,12562.42,47.32,0.38,67.37,0.54,-18.77,-0.15,391.89,0.00
13,Exit short,2023-02-09 19:30,Short Exit,12506.84,2,25120.82,107.14,0.43,107.14,0.43,-19.36,-0.08,499.03,0.00
13,Entry short,2023-02-09 19:20, | F:score=70 | F:fresh=14 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.69 | F:is_accuracy=0 | F:trend=0 | F:rsi=47.25 | F:htf_trend=1 | F:rvol=0.62 | F:adx=31.96 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=69.28 | F:liquidity_spread=31.51 | F:return_strength=56.1,12560.41,2,25120.82,107.14,0.43,107.14,0.43,-19.36,-0.08,499.03,0.00
14,Exit long,2023-02-14 16:30,Long Exit,12421.75,1,12576.83,-155.08,-1.23,16.98,0.14,-155.08,-1.23,343.95,0.00
14,Entry long,2023-02-14 15:30, | F:score=75 | F:fresh=251 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.7 | F:is_accuracy=0 | F:trend=1 | F:rsi=65.85 | F:htf_trend=1 | F:rvol=11.11 | F:adx=26.76 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=59.07 | F:liquidity_distance=75.74 | F:liquidity_spread=84.52 | F:return_strength=50,12576.83,1,12576.83,-155.08,-1.23,16.98,0.14,-155.08,-1.23,343.95,0.00
15,Exit short,2023-02-15 16:40,Short Exit,12569.59,2,25077.76,-61.42,-0.24,31.94,0.13,-61.42,-0.24,282.53,0.00
