Trade #,Type,Date and time,Signal,Price CAD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
65,Entry long,2023-05-09 10:20, | F:score=65 | F:fresh=16 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.76 | F:is_accuracy=0 | F:trend=1 | F:rsi=46.41 | F:htf_trend=0 | F:rvol=0 | F:adx=32.94 | F:touch_count=1 | F:base_quality=60 | F:departure_strength=50 | F:liquidity_distance=82.8 | F:liquidity_spread=7.1 | F:return_strength=23.12,1.68774,89744,151464.5386,-56.34,-0.05,28.17,0.02,-56.34,-0.05,-1080.5,-0.01
66,Exit short,2023-05-09 20:45,Short Exit,1.68969,125000,211168.75,-31.76,-0.02,66.33,0.04,-31.76,-0.02,-1112.27,-0.01
66,Entry short,2023-05-09 20:15, | F:score=55 | F:fresh=10 | F:session=2 | F:zone_type=1 | F:atr_ratio=1.18 | F:is_accuracy=0 | F:trend=1 | F:rsi=49.3 | F:htf_trend=0 | F:rvol=0 | F:adx=19.49 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=35.16 | F:liquidity_distance=97 | F:liquidity_spread=8 | F:return_strength=46.67,1.68935,125000,211168.75,-31.76,-0.02,66.33,0.04,-31.76,-0.02,-1112.27,-0.01
67,Exit long,2023-05-16 19:20,Long Exit,1.68209,107692,180940.8676,153.47,0.11,153.47,0.11,-31.17,-0.02,-958.8,-0.01
67,Entry long,2023-05-16 18:10, | F:score=60 | F:fresh=12 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.7 | F:is_accuracy=1 | F:trend=0 | F:rsi=46.2 | F:htf_trend=0 | F:rvol=0 | F:adx=23.91 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=20.06 | F:liquidity_distance=96.6 | F:liquidity_spread=13.7 | F:return_strength=100,1.68017,107692,180940.8676,153.47,0.11,153.47,0.11,-31.17,-0.02,-958.8,-0.01
68,Exit short,2023-05-17 09:00,Short Exit,1.6809,205882,346270.877,151.17,0.06,151.17,0.06,-45.81,-0.02,-807.63,-0.01
68,Entry short,2023-05-17 08:40, | F:score=65 | F:fresh=39 | F:session=0 | F:zone_type=1 | F:atr_ratio=0.81 | F:is_accuracy=0 | F:trend=0 | F:rsi=54.18 | F:htf_trend=0 | F:rvol=0 | F:adx=18.74 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=99.6 | F:liquidity_spread=3.9 | F:return_strength=20.3,1.68189,205882,346270.877,151.17,0.06,151.17,0.06,-45.81,-0.02,-807.63,-0.01
69,Exit short,2023-05-18 17:15,Short Exit,1.67456,67961,113978.0727,128.73,0.15,128.73,0.15,-11.61,-0.01,-678.9,-0.01
69,Entry short,2023-05-18 16:40, | F:score=70 | F:fresh=71 | F:session=2 | F:zone_type=1 | F:atr_ratio=0.54 | F:is_accuracy=0 | F:trend=0 | F:rsi=60.09 | F:htf_trend=0 | F:rvol=0 | F:adx=25.52 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=98 | F:liquidity_spread=13.5 | F:return_strength=100,1.67711,67961,113978.0727,128.73,0.15,128.73,0.15,-11.61,-0.01,-678.9,-0.01
70,Exit long,2023-05-25 13:20,Long Exit,1.68128,137255,230842.3218,-57.53,-0.03,0,0.00,-57.53,-0.03,-736.43,-0.01
70,Entry long,2023-05-25 13:15, | F:score=80 | F:fresh=16 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.58 | F:is_accuracy=1 | F:trend=1 | F:rsi=53.37 | F:htf_trend=1 | F:rvol=0 | F:adx=31.9 | F:touch_count=1 | F:base_quality=60 | F:departure_strength=64.84 | F:liquidity_distance=97.2 | F:liquidity_spread=12.6 | F:return_strength=100,1.68185,137255,230842.3218,-57.53,-0.03,0,0.00,-57.53,-0.03,-736.43,-0.01
71,Exit short,2023-05-29 15:50,Short Exit,1.67943,212121,356159.6438,-60.72,-0.02,3.11,0.00,-60.72,-0.02,-797.15,-0.01
71,Entry short,2023-05-29 15:45, | F:score=80 | F:fresh=67 | F:session=2 | F:zone_type=1 | F:atr_ratio=1.45 | F:is_accuracy=1 | F:trend=0 | F:rsi=59.27 | F:htf_trend=0 | F:rvol=0 | F:adx=19.1 | F:touch_count=1 | F:base_quality=60 | F:departure_strength=39.41 | F:liquidity_distance=97.6 | F:liquidity_spread=19.8 | F:return_strength=45.1,1.67904,212121,356159.6438,-60.72,-0.02,3.11,0.00,-60.72,-0.02,-797.15,-0.01
72,Exit long,2023-05-31 11:50,Long Exit,1.68503,109375,184376.7188,-56.26,-0.04,69.92,0.05,-56.26,-0.04,-853.41,-0.01
72,Entry long,2023-05-31 11:20, | F:score=70 | F:fresh=163 | F:session=1 | F:zone_type=0 | F:atr_ratio=0.44 | F:is_accuracy=0 | F:trend=0 | F:rsi=35.69 | F:htf_trend=1 | F:rvol=0 | F:adx=37.17 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=32.16 | F:liquidity_distance=90.6 | F:liquidity_spread=20.6 | F:return_strength=59.64,1.68573,109375,184376.7188,-56.26,-0.04,69.92,0.05,-56.26,-0.04,-853.41,-0.01
73,Exit short,2023-06-02 08:55,Short Exit,1.68372,155556,261833.4148,-58.96,-0.03,0,0.00,-58.96,-0.03,-912.37,-0.01
73,Entry short,2023-06-02 08:45, | F:score=70 | F:fresh=15 | F:session=0 | F:zone_type=1 | F:atr_ratio=0.75 | F:is_accuracy=0 | F:trend=0 | F:rsi=45.38 | F:htf_trend=0 | F:rvol=0 | F:adx=31.31 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=35.94 | F:liquidity_distance=98.4 | F:liquidity_spread=4.6 | F:return_strength=46.67,1.68321,155556,261833.4148,-58.96,-0.03,0,0.00,-58.96,-0.03,-912.37,-0.01
