Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
314,Entry long,2024-12-04 20:40, | F:score=55 | F:fresh=16 | F:session=2 | F:zone_type=0 | F:atr_ratio=1.26 | F:is_accuracy=1 | F:trend=0 | F:rsi=43.24 | F:htf_trend=0 | F:rvol=0 | F:adx=30.12 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=36.26 | F:liquidity_distance=98.6 | F:liquidity_spread=12.8 | F:return_strength=59.95,150.133,36439,5470696.387,62.1,0.17,62.1,0.17,-8.52,-0.02,-8108.29,-0.08
315,Exit short,2024-12-06 09:10,Short Exit,150.036,89255,13383430.23,-53.5,-0.06,105.22,0.12,-53.5,-0.06,-8161.78,-0.08
315,Entry short,2024-12-06 08:05, | F:score=65 | F:fresh=6 | F:session=0 | F:zone_type=1 | F:atr_ratio=0.78 | F:is_accuracy=0 | F:trend=0 | F:rsi=48.98 | F:htf_trend=0 | F:rvol=0 | F:adx=19.02 | F:touch_count=1 | F:base_quality=0 | F:departure_strength=50 | F:liquidity_distance=94.2 | F:liquidity_spread=8 | F:return_strength=100,149.946,89255,13383430.23,-53.5,-0.06,105.22,0.12,-53.5,-0.06,-8161.78,-0.08
316,Exit short,2024-12-06 10:50,Short Exit,150.389,64794,9740158.05,-27.62,-0.04,13.38,0.02,-27.62,-0.04,-8189.4,-0.08
316,Entry short,2024-12-06 10:30, | F:score=70 | F:fresh=202 | F:session=1 | F:zone_type=1 | F:atr_ratio=1.8 | F:is_accuracy=0 | F:trend=1 | F:rsi=69.95 | F:htf_trend=0 | F:rvol=0 | F:adx=23.82 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=96.4 | F:liquidity_spread=17.6 | F:return_strength=27.34,150.325,64794,9740158.05,-27.62,-0.04,13.38,0.02,-27.62,-0.04,-8189.4,-0.08
317,Exit short,2024-12-06 11:25,Short Exit,150.524,163552,24609996.54,-56.64,-0.03,0,0.00,-56.64,-0.03,-8246.04,-0.08
317,Entry short,2024-12-06 11:20, | F:score=50 | F:fresh=226 | F:session=1 | F:zone_type=1 | F:atr_ratio=1.34 | F:is_accuracy=0 | F:trend=1 | F:rsi=72.54 | F:htf_trend=0 | F:rvol=0 | F:adx=40.48 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=50 | F:liquidity_distance=98.4 | F:liquidity_spread=22.8 | F:return_strength=100,150.472,163552,24609996.54,-56.64,-0.03,0,0.00,-56.64,-0.03,-8246.04,-0.08
318,Exit long,2024-12-09 21:40,Long Exit,151.184,100838,15253260.07,-54.42,-0.05,53.08,0.05,-54.42,-0.05,-8300.47,-0.08
318,Entry long,2024-12-09 19:25, | F:score=75 | F:fresh=8 | F:session=2 | F:zone_type=0 | F:atr_ratio=0.57 | F:is_accuracy=0 | F:trend=1 | F:rsi=63.56 | F:htf_trend=1 | F:rvol=0 | F:adx=32.82 | F:touch_count=1 | F:base_quality=100 | F:departure_strength=52.54 | F:liquidity_distance=98.2 | F:liquidity_spread=2.8 | F:return_strength=100,151.265,100838,15253260.07,-54.42,-0.05,53.08,0.05,-54.42,-0.05,-8300.47,-0.08
319,Exit short,2024-12-10 13:50,Short Exit,151.738,114897,17425968.4,-54.69,-0.05,22.79,0.02,-54.69,-0.05,-8355.16,-0.08
