Trade #,Type,Date and time,Signal,Price JPY,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
17,Exit long,2023-04-03 17:15,Long Exit,164.232,31856,5237763.52,-45.08,-0.11,7.67,0.02,-45.08,-0.11,-262.1,0.00
17,Entry long,2023-04-03 17:05," | F:70,87,2,0,0.56,0,1,38.23,1,0,19.83,0,80,46.4,91.8,24,36.67",164.42,31856,5237763.52,-45.08,-0.11,7.67,0.02,-45.08,-0.11,-262.1,0.00
18,Exit long,2023-04-04 17:40,Long Exit,164.729,50687,8355194.393,-42.09,-0.07,53.57,0.08,-42.09,-0.07,-304.19,0.00
18,Entry long,2023-04-04 17:25," | F:75,96,2,0,0.46,1,0,14.07,1,0,60.21,0,80,44.18,83.6,14.9,36.67",164.839,50687,8355194.393,-42.09,-0.07,53.57,0.08,-42.09,-0.07,-304.19,0.00
19,Exit long,2023-04-04 19:05,Long Exit,164.341,42457,6983157.532,-43.27,-0.08,55.77,0.11,-43.27,-0.08,-347.46,0.00
19,Entry long,2023-04-04 18:40," | F:75,181,2,0,0.6,1,0,21.29,1,0,58.94,0,40,30.18,71.4,17.8,36.67",164.476,42457,6983157.532,-43.27,-0.08,55.77,0.11,-43.27,-0.08,-347.46,0.00
20,Exit long,2023-04-10 15:20,Long Exit,164.672,53688,8846493.888,-42.26,-0.06,0,0.00,-42.26,-0.06,-389.72,0.00
20,Entry long,2023-04-10 15:15," | F:75,10,2,0,0.48,1,1,57.48,1,0,42.33,0,40,47.61,68.2,14.1,36.67",164.776,53688,8846493.888,-42.26,-0.06,0,0.00,-42.26,-0.06,-389.72,0.00
21,Exit short,2023-04-12 15:30,Short Exit,165.516,36345,6029780.88,105.47,0.23,105.47,0.23,-6.52,-0.01,-284.25,0.00
21,Entry short,2023-04-12 15:25," | F:80,28,2,1,0.68,1,0,46.17,1,0,17.07,0,60,32.1,93,13.1,50",165.904,36345,6029780.88,105.47,0.23,105.47,0.23,-6.52,-0.01,-284.25,0.00
22,Exit long,2023-04-24 20:50,Long Exit,167.716,92033,15416723.93,139.26,0.12,139.26,0.12,-15.78,-0.01,-144.99,0.00
22,Entry long,2023-04-24 20:05," | F:80,9,2,0,0.84,1,1,52.7,1,0,18.54,0,100,45.8,95.4,5.9,36.67",167.513,92033,15416723.93,139.26,0.12,139.26,0.12,-15.78,-0.01,-144.99,0.00
23,Exit long,2023-05-08 13:30,Long Exit,170.856,54432,9285446.016,108.17,0.16,108.17,0.16,-14.93,-0.02,-36.82,0.00
23,Entry long,2023-05-08 12:15," | F:80,27,1,0,0.56,1,1,49,1,0,23.95,0,60,47.04,95.8,18.5,42.92",170.588,54432,9285446.016,108.17,0.16,108.17,0.16,-14.93,-0.02,-36.82,0.00
24,Exit short,2023-05-08 17:25,Short Exit,170.558,68878,11765946.59,135.34,0.16,135.34,0.16,-27.58,-0.03,98.52,0.00
24,Entry short,2023-05-08 16:20," | F:55,10,2,1,0.33,1,1,46.49,1,0,24.09,0,80,33.55,85.4,7.5,36.67",170.823,68878,11765946.59,135.34,0.16,135.34,0.16,-27.58,-0.03,98.52,0.00
25,Exit long,2023-05-12 15:25,Long Exit,168.839,77494,13089201.56,-38.57,-0.04,42.02,0.04,-38.57,-0.04,59.96,0.00
25,Entry long,2023-05-12 14:45," | F:80,10,1,0,0.83,1,1,54.38,0,0,9.75,0,80,43.93,99.4,11.1,36.67",168.906,77494,13089201.56,-38.57,-0.04,42.02,0.04,-38.57,-0.04,59.96,0.00
26,Exit long,2023-05-15 10:35,Long Exit,169.788,59064,10013592.43,108.74,0.15,108.74,0.15,0,0.00,168.69,0.00
26,Entry long,2023-05-15 10:25," | F:70,45,1,0,0.72,0,1,38.57,1,0,30.29,0,40,50.9,83.2,13.6,36.67",169.538,59064,10013592.43,108.74,0.15,108.74,0.15,0,0.00,168.69,0.00
27,Exit long,2023-05-15 15:30,Long Exit,170.16,80081,13631788.22,-38.33,-0.04,119.12,0.12,-38.33,-0.04,130.36,0.00
