Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
219,Exit short,2025-09-11 16:00,Short Exit,1.1721,37037,43368.47515,-42.59,-0.10,63.7,0.15,-42.59,-0.10,-336.08,0.00
219,Entry short,2025-09-11 15:35," | F:60,253,2,1,0.32,1,1,67.47,0,2.5,24.23,0,60,32.43,85.2,3.9,77.47",1.17095,37037,43368.47515,-42.59,-0.10,63.7,0.15,-42.59,-0.10,-336.08,0.00
220,Exit long,2025-09-15 16:50,Long Exit,1.17576,92593,108898.6273,-31.48,-0.03,65.74,0.06,-31.48,-0.03,-367.56,0.00
220,Entry long,2025-09-15 16:25," | F:70,21,2,0,0.58,0,1,47.85,1,0.85,31.5,0,100,43.51,88.8,7.4,16.67",1.1761,92593,108898.6273,-31.48,-0.03,65.74,0.06,-31.48,-0.03,-367.56,0.00
221,Exit short,2025-09-16 14:40,Short Exit,1.18113,87719,103575.0864,-32.46,-0.03,55.26,0.05,-32.46,-0.03,-400.02,0.00
221,Entry short,2025-09-16 14:00," | F:60,7,1,1,0.33,1,1,53.09,1,1.15,29.79,0,80,31.76,97,3.2,44.08",1.18076,87719,103575.0864,-32.46,-0.03,55.26,0.05,-32.46,-0.03,-400.02,0.00
222,Exit short,2025-09-17 10:20,Short Exit,1.184,102041,120986.9525,170.41,0.14,170.41,0.14,-24.49,-0.02,-229.61,0.00
222,Entry short,2025-09-17 08:20," | F:55,55,0,1,0.77,1,1,55.22,1,1.01,20.88,0,100,35.36,99.4,3.5,45.19",1.18567,102041,120986.9525,170.41,0.14,170.41,0.14,-24.49,-0.02,-229.61,0.00
223,Exit short,2025-09-17 21:00,Short Exit,1.18564,104167,123475.3951,-29.17,-0.02,70.83,0.06,-29.17,-0.02,-258.78,0.00
223,Entry short,2025-09-17 19:30," | F:60,26,2,1,0.78,1,1,60.91,1,1.07,18.32,0,80,44.49,94.2,8.6,16.67",1.18536,104167,123475.3951,-29.17,-0.02,70.83,0.06,-29.17,-0.02,-258.78,0.00
224,Exit short,2025-09-26 16:00,Short Exit,1.16864,35211,41106.02562,-42.96,-0.10,9.51,0.02,-42.96,-0.10,-301.74,0.00
224,Entry short,2025-09-26 15:30," | F:55,47,2,1,0.38,0,0,52,0,2.79,18.71,0,40,34.8,99.6,8.5,50",1.16742,35211,41106.02562,-42.96,-0.10,9.51,0.02,-42.96,-0.10,-301.74,0.00
225,Exit long,2025-09-26 18:55,Long Exit,1.16882,81967,95838.27541,-33.61,-0.04,16.39,0.02,-33.61,-0.04,-335.34,0.00
225,Entry long,2025-09-26 18:45," | F:80,7,2,0,0.22,1,1,51.65,0,0.64,22.9,0,80,48.28,95.4,4.4,36.67",1.16923,81967,95838.27541,-33.61,-0.04,16.39,0.02,-33.61,-0.04,-335.34,0.00
226,Exit long,2025-10-01 10:40,Long Exit,1.17483,43860,51569.2722,-41.23,-0.08,0.88,0.00,-41.23,-0.08,-376.57,0.00
226,Entry long,2025-10-01 10:35," | F:70,36,1,0,0.4,0,1,46.59,1,0.94,38.3,0,80,53.85,96.2,16.4,50",1.17577,43860,51569.2722,-41.23,-0.08,0.88,0.00,-41.23,-0.08,-376.57,0.00
227,Exit long,2025-10-03 13:55,Long Exit,1.17338,138889,162991.7971,-22.22,-0.01,63.89,0.04,-22.22,-0.01,-398.79,0.00
227,Entry long,2025-10-03 13:05," | F:75,9,1,0,0.99,0,1,51.39,1,1.01,17.37,0,40,40.64,95.2,2.6,36.67",1.17354,138889,162991.7971,-22.22,-0.01,63.89,0.04,-22.22,-0.01,-398.79,0.00
228,Exit long,2025-10-03 19:35,Long Exit,1.17381,116279,136516.1972,-26.74,-0.02,1.16,0.00,-26.74,-0.02,-425.54,0.00
228,Entry long,2025-10-03 19:20," | F:80,15,2,0,0.37,1,1,45.5,1,0.5,19.08,0,40,40.71,97,6.9,36.67",1.17404,116279,136516.1972,-26.74,-0.02,1.16,0.00,-26.74,-0.02,-425.54,0.00
229,Exit short,2025-10-07 21:40,Short Exit,1.16575,84746,98959.59912,166.95,0.17,166.95,0.17,-18.64,-0.02,-258.59,0.00
229,Entry short,2025-10-07 19:15," | F:80,98,2,1,0.48,1,0,62.15,0,0.72,26.15,0,80,43.2,92.8,5.1,57.59",1.16772,84746,98959.59912,166.95,0.17,166.95,0.17,-18.64,-0.02,-258.59,0.00
230,Exit short,2025-10-08 10:05,Short Exit,1.16184,119048,138288.5378,-26.19,-0.02,2.38,0.00,-26.19,-0.02,-284.78,0.00
230,Entry short,2025-10-08 10:00," | F:75,12,1,1,0.67,1,0,52.01,0,1.64,18.84,0,100,51.4,93.2,6.8,36.67",1.16162,119048,138288.5378,-26.19,-0.02,2.38,0.00,-26.19,-0.02,-284.78,0.00
231,Exit short,2025-10-09 18:05,Short Exit,1.15751,31056,36053.84208,106.21,0.29,106.21,0.29,-36.96,-0.10,-178.57,0.00
231,Entry short,2025-10-09 16:05," | F:80,33,2,1,0.63,1,0,42.55,0,2.52,15.47,0,80,53.24,99,13,50",1.16093,31056,36053.84208,106.21,0.29,106.21,0.29,-36.96,-0.10,-178.57,0.00
