score,fresh,session,zone_type,atr_ratio,is_accuracy,trend,rsi,htf_trend,rvol,adx,touch_count,base_quality,departure_strength,liquidity_distance,liquidity_spread,liquidity_distance_score,liquidity_spread_score,return_strength,outcome
90,84,2,1,1.18,0,0,73.05,0,0.0,23.18,1,0,39.18,5.5,3.7,89.0,3.7,100.0,0
65,14,2,1,0.84,0,1,50.83,1,0.0,26.09,1,100,50.0,0.3,5.8,99.4,5.8,100.0,0
80,5,2,1,0.1,1,1,55.98,1,0.0,30.31,1,100,46.55,0.2,3.7,99.6,3.7,50.0,0
90,79,2,0,0.37,0,1,78.27,1,0.0,16.68,1,100,49.0,0.9,20.9,98.2,20.9,50.0,0
80,9,2,1,0.56,1,1,62.61,1,0.0,46.21,1,0,27.73,1.2,0.4,97.6,0.4,100.0,0
70,7,2,0,0.75,0,0,58.24,0,0.0,23.65,1,0,32.79,0.5,3.6,99.0,3.6,50.0,0
95,16,2,1,0.93,1,1,52.2,0,0.0,21.26,1,0,40.28,2.8,7.3,94.4,7.3,50.0,1
70,16,2,0,0.81,0,0,45.05,0,0.0,22.24,1,0,25.62,3.6,0.8,92.8,0.8,64.61,1
95,13,1,0,0.74,0,1,58.95,0,0.0,29.19,1,100,41.31,0.4,3.3,99.2,3.3,50.0,0
75,12,2,1,1.5,0,1,59.86,1,0.0,34.34,1,100,30.29,0.5,2.5,99.0,2.5,100.0,1
80,38,1,1,1.43,1,1,62.67,0,0.0,17.81,1,100,53.99,5.0,11.5,90.0,11.5,73.11,0
95,7,2,0,0.73,0,1,72.59,1,0.0,48.14,1,0,35.76,0.9,2.2,98.2,2.2,37.86,0
90,19,2,1,0.74,0,0,42.3,0,0.0,23.4,1,100,39.3,1.5,5.0,97.0,5.0,100.0,0
95,21,2,1,0.62,0,0,51.03,0,0.0,24.61,1,0,34.81,1.4,9.7,97.2,9.7,100.0,0
75,4,2,0,0.87,0,0,47.77,0,0.0,22.83,1,100,28.2,2.7,1.3,94.6,1.3,100.0,1
90,23,1,0,0.42,0,1,49.73,1,0.0,15.88,1,100,39.71,0.2,7.1,99.6,7.1,50.0,1
90,27,2,0,1.5,0,1,45.43,1,0.0,17.16,1,0,50.0,3.9,5.6,92.2,5.6,45.54,1
70,21,2,0,1.03,0,0,45.68,0,0.0,37.97,1,100,46.97,7.4,11.2,85.2,11.2,26.67,0
80,10,2,1,0.76,1,1,48.47,0,0.0,22.31,1,0,29.37,1.0,2.6,98.0,2.6,60.2,1
100,19,2,0,0.73,1,1,50.58,0,0.0,29.42,1,0,25.7,1.2,3.8,97.6,3.8,100.0,0
95,9,2,0,1.05,1,0,57.09,0,0.0,27.46,1,100,43.35,0.5,4.7,99.0,4.7,100.0,1
75,23,0,1,0.32,1,1,55.44,0,0.0,15.89,1,100,49.24,1.0,5.0,98.0,5.0,39.74,0
95,22,0,1,1.5,1,0,58.55,0,0.0,17.77,1,100,43.43,0.3,5.6,99.4,5.6,100.0,0
80,21,2,1,0.72,1,1,49.73,0,0.0,17.35,1,100,40.59,0.1,6.7,99.8,6.7,26.13,1
90,42,0,1,0.55,0,1,64.63,0,0.0,29.91,1,100,33.52,3.4,6.4,93.2,6.4,55.95,1
70,108,1,1,0.6,0,1,64.76,0,0.0,22.71,1,0,29.34,0.1,21.0,99.8,21.0,100.0,0
95,47,2,1,2.36,0,1,67.5,0,0.0,29.71,1,100,46.08,0.9,9.2,98.2,9.2,100.0,0
90,75,2,0,1.26,0,0,31.34,1,0.0,27.89,1,0,29.76,0.9,13.7,98.2,13.7,50.0,0
85,13,2,0,0.33,0,1,53.72,1,0.0,37.81,1,100,50.0,0.6,12.0,98.8,12.0,100.0,0
90,15,2,1,1.3,0,0,46.28,0,0.0,25.84,1,100,50.0,1.6,4.0,96.8,4.0,26.67,0
90,9,2,1,0.71,0,0,52.87,0,0.0,10.83,1,100,54.44,0.8,1.2,98.4,1.2,100.0,1
