Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
330,Entry long,2025-03-14 08:30," | F:50,47,0,0,0.38,0,0,43.64,1,1.85,24.39,1,40,38.85,96,3.5,16.67",1.08407,47619,51622.32933,-32.86,-0.06,6.67,0.01,-32.86,-0.06,-687,-0.01
331,Exit long,2025-03-17 08:50,Long Exit,1.0874,40541,44116.7162,-32.43,-0.07,8.92,0.02,-32.43,-0.07,-719.43,-0.01
331,Entry long,2025-03-17 08:10," | F:45,7,0,0,0.9,0,1,56.97,1,1.46,13.65,1,60,50,99.6,2.7,50",1.0882,40541,44116.7162,-32.43,-0.07,8.92,0.02,-32.43,-0.07,-719.43,-0.01
332,Exit long,2025-03-20 19:10,Long Exit,1.0843,43478,47175.8039,-32.61,-0.07,7.83,0.02,-32.61,-0.07,-752.04,-0.01
332,Entry long,2025-03-20 18:40," | F:55,7,2,0,0.64,0,0,62.68,0,0.5,24.76,1,80,37.62,96.4,2.5,36.67",1.08505,43478,47175.8039,-32.61,-0.07,7.83,0.02,-32.61,-0.07,-752.04,-0.01
333,Exit short,2025-03-25 13:30,Short Exit,1.08257,37500,40564.125,-32.25,-0.08,23.25,0.06,-32.25,-0.08,-784.29,-0.01
333,Entry short,2025-03-25 13:00," | F:75,257,1,1,0.7,0,1,67.35,0,1.12,42.52,1,80,60.23,97,29.9,50",1.08171,37500,40564.125,-32.25,-0.08,23.25,0.06,-32.25,-0.08,-784.29,-0.01
334,Exit short,2025-03-25 14:40,Short Exit,1.08244,31915,34529.15765,-16.91,-0.05,0,0.00,-16.91,-0.05,-801.21,-0.01
334,Entry short,2025-03-25 14:35," | F:55,11,2,1,0.63,1,1,54.46,0,0.95,26.14,1,60,45.1,99.8,6.5,50",1.08191,31915,34529.15765,-16.91,-0.05,0,0.00,-16.91,-0.05,-801.21,-0.01
335,Exit long,2025-03-25 16:30,Long Exit,1.08116,58824,63566.39088,31.76,0.05,31.76,0.05,-9.41,-0.01,-769.44,-0.01
335,Entry long,2025-03-25 16:25," | F:75,54,2,0,0.48,0,0,33.1,0,1.06,21.49,1,100,44.89,82.6,13.5,70.81",1.08062,58824,63566.39088,31.76,0.05,31.76,0.05,-9.41,-0.01,-769.44,-0.01
336,Exit long,2025-03-25 18:05,Long Exit,1.08109,42857,46300.55995,31.71,0.07,31.71,0.07,-6.86,-0.01,-737.73,-0.01
336,Entry long,2025-03-25 17:55," | F:75,77,2,0,0.79,0,0,37.35,0,1.74,18.2,1,100,50.05,96.8,4.2,16.67",1.08035,42857,46300.55995,31.71,0.07,31.71,0.07,-6.86,-0.01,-737.73,-0.01
337,Exit short,2025-03-26 17:50,Short Exit,1.07803,40000,43153.2,32,0.07,32,0.07,-28.4,-0.07,-705.73,-0.01
337,Entry short,2025-03-26 16:30," | F:70,32,2,1,0.39,0,0,56.44,0,0.97,27.14,1,60,52.06,99.6,10.3,36.67",1.07883,40000,43153.2,32,0.07,32,0.07,-28.4,-0.07,-705.73,-0.01
338,Exit long,2025-03-27 08:05,Long Exit,1.07762,46875,50481.5625,31.88,0.06,31.88,0.06,-5.62,-0.01,-673.85,-0.01
