Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
138,Entry long,2026-01-06 17:35,Long,4470.88,32,143068.16,374.4,0.26,374.4,0.26,-11.84,-0.01,4020.91,0.04
139,Exit long,2026-01-09 15:05,Long Exit,4473.22,52,232231.48,375.96,0.16,375.96,0.16,-113.88,-0.05,4396.87,0.04
139,Entry long,2026-01-09 14:35,Long,4465.99,52,232231.48,375.96,0.16,375.96,0.16,-113.88,-0.05,4396.87,0.04
140,Exit long,2026-01-15 11:35,Long Exit,4608.03,61,280716.51,373.32,0.13,373.32,0.13,-162.26,-0.06,4770.19,0.05
140,Entry long,2026-01-15 10:05,Long,4601.91,61,280716.51,373.32,0.13,373.32,0.13,-162.26,-0.06,4770.19,0.05
141,Exit long,2026-01-21 09:20,Long Exit,4833.38,53,256424.07,-254.93,-0.10,9.01,0.00,-254.93,-0.10,4515.26,0.05
141,Entry long,2026-01-21 09:15,Long,4838.19,53,256424.07,-254.93,-0.10,9.01,0.00,-254.93,-0.10,4515.26,0.05
142,Exit short,2026-01-21 14:45,Short Exit,4859.74,28,136261.72,189,0.14,189,0.14,-9.24,-0.01,4704.26,0.05
142,Entry short,2026-01-21 14:35,Short,4866.49,28,136261.72,189,0.14,189,0.14,-9.24,-0.01,4704.26,0.05
143,Exit long,2026-01-22 13:30,Long Exit,4829.77,116,559882.12,371.2,0.07,371.2,0.07,-27.84,0.00,5075.46,0.05
143,Entry long,2026-01-22 13:15,Long,4826.57,116,559882.12,371.2,0.07,371.2,0.07,-27.84,0.00,5075.46,0.05
144,Exit long,2026-01-23 16:35,Long Exit,4948.74,21,103541.13,382.41,0.37,382.41,0.37,-141.33,-0.14,5457.87,0.05
144,Entry long,2026-01-23 14:00,Long,4930.53,21,103541.13,382.41,0.37,382.41,0.37,-141.33,-0.14,5457.87,0.05
145,Exit long,2026-01-28 14:40,Long Exit,5270.87,19,99779.07,367.46,0.37,367.46,0.37,-91.58,-0.09,5825.33,0.06
145,Entry long,2026-01-28 13:05,Long,5251.53,19,99779.07,367.46,0.37,367.46,0.37,-91.58,-0.09,5825.33,0.06
146,Exit long,2026-02-04 11:30,Long Exit,5053.58,23,116486.72,-254.38,-0.22,16.33,0.01,-254.38,-0.22,5570.95,0.06
146,Entry long,2026-02-04 11:20,Long,5064.64,23,116486.72,-254.38,-0.22,16.33,0.01,-254.38,-0.22,5570.95,0.06
147,Exit short,2026-02-06 13:00,Short Exit,4882.45,8,38810,-249.6,-0.64,98.56,0.25,-249.6,-0.64,5321.35,0.05
147,Entry short,2026-02-06 11:00,Short,4851.25,8,38810,-249.6,-0.64,98.56,0.25,-249.6,-0.64,5321.35,0.05
148,Exit long,2026-02-06 19:30,Long Exit,4963.72,7,34569.5,176.54,0.51,176.54,0.51,-60.06,-0.17,5497.89,0.05
148,Entry long,2026-02-06 18:25,Long,4938.5,7,34569.5,176.54,0.51,176.54,0.51,-60.06,-0.17,5497.89,0.05
