pair_xauusd,pair_gbpjpy,pair_usdjpy,pair_gbpcad,pair_chfjpy,pair_nas100,entry_default,entry_flip,entry_boc,trade_score_numeric,session_london,session_newyork,session_tokyo,session_sydney,rsi,news_event,zone_supply,liquidity_distance,sl_pips,potential_rr,close_bullish,win,source,pair_eurusd
1,0,0,0,0,0,0,1,0,5.0,1,1,0,0,50.0,0,0,64.0,110.0,8.2,0,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,0,1,0,0,50.0,0,0,120.0,129.0,2.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,0,14.0,61.0,3.0,1,1,notion,0
1,0,0,0,0,0,0,0,1,2.0,1,1,0,0,50.0,0,1,45.0,599.0,1.5,1,0,notion,0
1,0,0,0,0,0,0,0,1,2.0,1,0,0,0,50.0,0,0,125.0,225.0,1.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,1,0,50.0,0,0,119.0,77.0,3.0,0,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,1,0,50.0,0,0,113.0,214.0,2.0,0,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,1,0,0,50.0,0,1,88.0,331.0,1.5,1,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,0,11.0,164.0,2.0,1,1,notion,0
1,0,0,0,0,0,1,0,0,2.0,0,0,1,1,50.0,0,1,16.0,248.0,1.5,1,0,notion,0
1,0,0,0,0,0,1,0,0,5.0,1,1,0,0,50.0,0,0,137.0,336.0,1.5,1,1,notion,0
1,0,0,0,0,0,1,0,0,5.0,1,0,0,0,50.0,0,1,63.0,172.0,2.0,1,1,notion,0
1,0,0,0,0,0,0,0,1,2.0,1,1,0,0,50.0,0,0,127.0,485.0,1.5,0,0,notion,0
1,0,0,0,0,0,0,0,1,2.0,1,1,0,0,50.0,0,0,25.0,260.0,1.5,0,0,notion,0
1,0,0,0,0,0,0,0,1,4.0,0,1,0,0,50.0,0,0,67.0,114.0,2.5,0,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,1,0,0,50.0,0,0,139.0,254.0,1.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,1,0,50.0,0,0,68.0,181.0,2.0,1,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,0,1,1,1,50.0,0,0,47.0,96.0,3.0,1,1,notion,0
1,0,0,0,0,0,1,0,0,5.0,1,0,0,0,50.0,0,1,44.0,148.0,2.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,0,165.0,388.0,1.5,0,1,notion,0
1,0,0,0,0,0,0,0,1,4.0,0,0,1,0,50.0,0,0,106.0,288.0,1.5,0,1,notion,0
1,0,0,0,0,0,0,0,1,4.0,1,0,0,0,50.0,0,1,22.0,186.0,2.0,1,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,0,0,1,0,50.0,0,0,46.0,182.0,2.0,0,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,0,0,1,0,50.0,0,1,74.0,106.0,3.0,0,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,0,18.0,151.0,2.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,0,1,0,0,50.0,0,0,112.0,230.0,1.5,1,0,notion,0
1,0,0,0,0,0,1,0,0,2.0,1,1,0,0,50.0,0,0,219.0,300.0,1.5,1,1,notion,0
1,0,0,0,0,0,0,0,1,2.0,1,1,0,0,50.0,0,1,200.0,300.0,1.5,1,0,notion,0
1,0,0,0,0,0,0,0,1,5.0,1,0,0,0,50.0,0,1,95.0,148.0,2.5,0,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,1,23.0,148.0,3.0,1,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,0,57.0,90.0,3.0,1,0,notion,0
1,0,0,0,0,0,1,0,0,2.0,1,0,0,0,50.0,0,1,129.0,162.0,2.0,0,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,1,0,0,50.0,0,1,10.0,383.0,1.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,0,1,0,0,50.0,0,1,10.0,126.0,2.5,1,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,0,1,0,0,50.0,0,0,26.0,180.0,2.0,1,1,notion,0
1,0,0,0,0,0,1,0,0,5.0,1,1,0,0,50.0,0,0,42.0,82.0,3.0,0,1,notion,0
1,0,0,0,0,0,1,0,0,5.0,1,1,0,0,50.0,0,0,76.0,110.0,2.5,0,0,notion,0
1,0,0,0,0,0,1,0,0,2.0,1,0,0,0,50.0,0,0,5.0,154.0,2.0,0,1,notion,0
1,0,0,0,0,0,1,0,0,2.0,1,0,0,0,50.0,0,1,15.0,128.0,2.5,0,0,notion,0
1,0,0,0,0,0,0,1,0,5.0,1,1,0,0,50.0,0,0,10.0,166.0,2.0,1,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,0,0,1,0,50.0,0,0,9.0,180.0,2.0,0,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,0,89.0,120.0,2.5,0,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,0,74.0,142.0,2.5,0,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,1,0,50.0,0,0,19.0,205.0,1.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,0,23.0,133.0,2.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,0,11.0,135.0,2.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,0,95.0,321.0,1.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,2.0,1,1,0,0,50.0,0,0,147.0,297.0,1.5,0,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,1,0,0,50.0,0,0,10.0,306.0,1.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,2.0,0,0,1,1,50.0,0,0,74.0,113.0,2.5,0,1,notion,0
1,0,0,0,0,0,0,0,0,2.0,0,0,0,0,50.0,0,0,0.0,0.0,2.0,0,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,0,0,50.0,0,0,10.0,189.0,2.0,0,0,notion,0
1,0,0,0,0,0,1,0,0,2.0,1,0,1,0,50.0,0,0,89.0,242.0,3.0,0,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,1,0,0,50.0,0,1,104.0,343.0,2.0,1,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,0,1,0,0,50.0,0,1,117.0,336.0,1.5,1,1,notion,0
1,0,0,0,0,0,1,0,0,2.0,1,1,0,0,50.0,0,0,41.0,185.0,2.0,1,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,1,0,50.0,0,0,180.0,270.0,1.5,1,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,0,0,1,1,50.0,0,0,48.0,395.0,1.5,1,0,notion,0
1,0,0,0,0,0,1,0,0,2.0,1,0,0,0,50.0,0,0,55.0,131.0,1.5,0,0,notion,0
1,0,0,0,0,0,1,0,0,3.0,1,0,0,0,50.0,0,0,152.0,482.0,1.5,0,0,notion,0
1,0,0,0,0,0,1,0,0,3.0,1,0,0,0,50.0,0,0,28.0,519.0,1.5,1,0,notion,0
1,0,0,0,0,0,1,0,0,1.0,1,1,0,0,50.0,0,0,15.0,367.0,1.5,0,0,notion,0
1,0,0,0,0,0,1,0,0,3.0,1,0,0,0,50.0,0,0,23.0,180.0,2.0,0,1,notion,0
1,0,0,0,0,0,1,0,0,3.0,0,1,0,0,50.0,0,0,15.0,88.0,2.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,5.0,0,0,1,1,50.0,0,0,90.0,237.0,1.5,1,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,1,0,1,0,50.0,0,0,95.0,237.0,1.5,0,0,notion,0
1,0,0,0,0,0,1,0,0,5.0,0,0,1,0,50.0,0,0,2.0,310.0,1.5,1,0,notion,0
1,0,0,0,0,0,1,0,0,3.0,0,0,1,1,50.0,0,0,34.0,140.0,2.5,0,1,notion,0
1,0,0,0,0,0,1,0,0,2.0,1,0,0,0,50.0,0,0,25.0,317.0,1.5,1,1,notion,0
1,0,0,0,0,0,1,0,0,3.0,1,1,0,0,50.0,0,0,36.0,305.0,1.5,1,0,notion,0
1,0,0,0,0,0,1,0,0,5.0,0,1,0,0,50.0,0,1,22.0,155.0,1.5,0,0,notion,0
1,0,0,0,0,0,1,0,0,3.0,1,1,0,0,50.0,0,1,58.0,241.0,1.5,1,1,notion,0
1,0,0,0,0,0,1,0,0,4.0,0,0,1,1,50.0,0,1,52.0,196.0,1.5,0,0,notion,0
1,0,0,0,0,0,1,0,0,4.0,0,1,0,0,50.0,0,0,49.0,127.0,2.5,0,0,notion,0
