Trade #,+ R (%),BE,Candle Close,Close,Day,Entry Type,Entry method,Entry model,Liquidity Distance,Loss,News,Open,Potential R,RSI,SL Pips,Session,Trade Score,Win,Zone Type
1,2.5%,,Beraish,"June 12, 2025 18:00 (GMT+3)",Thursday,BOC,Candle Close,S&D Retest,4.6,,No,"June 12, 2025 16:25 (GMT+3)",2.5%,Between,8.4,"London, New York",A,,Demand
,,,,,,,,,,,No,,,,,,,,
2,-1%,,Bullish,"June 13, 2025 14:45 (GMT+3)",Friday,BOC,Candle Close,S&D Retest,0.2,Loss,No,"June 13, 2025 14:00 (GMT+3)",2%,Between,8,London,A,,Supply
3,-1%,,Beraish,"June 16, 2025 23:35 (GMT+3)",Monday,Default,Candle Close,S&D Retest,2.5,Loss,No,"June 16, 2025 22:30 (GMT+3)",3%,Between,5.4,"London, New York",B,,Demand
4,2%,,Beraish,"June 25, 2025 14:05 (GMT+3)",Monday,Default,Candle Close,S&D Retest,0.8,,No,"June 25, 2025 12:35 (GMT+3)",2%,Between,15.7,London,B+,,Demand
5,3%,,Bullish,"June 27, 2025 19:05 (GMT+3)",Friday,Default,Candle Close,S&D Retest,0.7,,No,"June 27, 2025 17:55 (GMT+3)",3%,Between,5.8,"London, New York",B,,Supply
6,-1%,,Beraish,"July 3, 2025 12:05 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,1.1,Loss,No,"July 3, 2025 11:50 (GMT+3)",-1%,Between,5,London,B+,,Demand
7,-1%,,Beraish,"July 4, 2025 12:30 (GMT+3)",Friday,Default,Candle Close,S&D Retest,0.3,Loss,No,"July 4, 2025 11:55 (GMT+3)",-1%,Between,3.7,London,A,,Supply
8,2.5%,,Beraish,"July 10, 2025 15:30 (GMT+3)",Thursday,Default,Candle Close,S&D Retest,2.6,,No,"July 10, 2025 14:50 (GMT+3)",2.5%,Between,7.7,London,A+,,Supply
